label,cityLabel,city
维塔利·拉扎列维奇·金兹堡,Vitaly Ginzburg,http://www.wikidata.org/entity/Q104668
詹姆斯·尼古拉·格雷,Jim Gray,http://www.wikidata.org/entity/Q92606
西德尼·奥尔特曼,Sidney Altman,http://www.wikidata.org/entity/Q102266
兰迪·波许,Randy Pausch,http://www.wikidata.org/entity/Q49828
弗里茨·哈伯,Fritz Haber,http://www.wikidata.org/entity/Q57075
恩格爾貝特·坎普弗爾,Engelbert Kaempfer,http://www.wikidata.org/entity/Q58042
格奥尔格·克里斯托夫·利希滕贝格,Georg Christoph Lichtenberg,http://www.wikidata.org/entity/Q57554
比利牛斯山北山羊,Hermann Schlegel,http://www.wikidata.org/entity/Q60725
約翰·克里斯蒂安·波利卡普·埃克斯勒本,Johann Christian Polycarp Erxleben,http://www.wikidata.org/entity/Q60938
莫畢士,Paul Julius Möbius,http://www.wikidata.org/entity/Q62402
詹姆斯·哈迪·威尔金森,James H. Wilkinson,http://www.wikidata.org/entity/Q62877
"猿橋勝子,",Katsuko Saruhashi,http://www.wikidata.org/entity/Q7300
朱尔·A·奥夫曼,Jules Hoffmann,http://www.wikidata.org/entity/Q105605
克里斯托弗·皮萨里德斯,Christopher A. Pissarides,http://www.wikidata.org/entity/Q109582
巴鲁克·塞缪尔·布隆伯格,Baruch Samuel Blumberg,http://www.wikidata.org/entity/Q105830
沃爾特·芒克,Walter Munk,http://www.wikidata.org/entity/Q113081
米夏埃尔·格雷策尔,Michael Grätzel,http://www.wikidata.org/entity/Q117008
邁克爾·謝爾默,Michael Shermer,http://www.wikidata.org/entity/Q126225
乔治斯·克勒,Georges J. F. Köhler,http://www.wikidata.org/entity/Q77160
卡尔·杰拉西,Carl Djerassi,http://www.wikidata.org/entity/Q78608
比魯尼,Al-Biruni,http://www.wikidata.org/entity/Q11826
爱迪生,Thomas Alva Edison,http://www.wikidata.org/entity/Q8743
喬治·史提比茲,George Stibitz,http://www.wikidata.org/entity/Q92839
布萊斯·拜爾,Bryce Bayer,http://www.wikidata.org/entity/Q84085
比雅尼·斯特劳斯特鲁普,Bjarne Stroustrup,http://www.wikidata.org/entity/Q92620
泊·派克·漢森,Per Brinch Hansen,http://www.wikidata.org/entity/Q92933
米盧廷·米蘭科維奇,Milutin Milanković,http://www.wikidata.org/entity/Q89054
迈克尔·罗斯曼,Michael Rossmann,http://www.wikidata.org/entity/Q101728
阿斯瑪·查特基,Asima Chatterjee,http://www.wikidata.org/entity/Q7450
约瑟夫·斯蒂格利茨,Joseph E. Stiglitz,http://www.wikidata.org/entity/Q18430
伊弗雷姆·卡齐尔,Ephraim Katzir,http://www.wikidata.org/entity/Q110330
列昂尼德·坎托罗维奇,Leonid Kantorovich,http://www.wikidata.org/entity/Q107441
约翰·霍华德·诺思罗普,John Howard Northrop,http://www.wikidata.org/entity/Q106399
雷永明,Gabriele Allegra,http://www.wikidata.org/entity/Q128073
让-巴蒂斯特·拉马克,Jean-Baptiste de Lamarck,http://www.wikidata.org/entity/Q82122
利奧·西拉德,Leó Szilárd,http://www.wikidata.org/entity/Q153238
圣地亚哥·拉蒙-卡哈尔,Santiago Ramón y Cajal,http://www.wikidata.org/entity/Q150526
伊雷娜·约里奥-居里,Irène Joliot-Curie,http://www.wikidata.org/entity/Q7504
卡尔·冯·罗基坦斯基,Carl von Rokitansky,http://www.wikidata.org/entity/Q78714
曼弗雷德·艾根,Manfred Eigen,http://www.wikidata.org/entity/Q76600
維克托·卡普蘭,Viktor Kaplan,http://www.wikidata.org/entity/Q78926
保爾·霍爾巴赫,Baron d'Holbach,http://www.wikidata.org/entity/Q7104
科查·米馬爾·希南,Mimar Sinan,http://www.wikidata.org/entity/Q5600
梅斯特林,Michael Maestlin,http://www.wikidata.org/entity/Q75797
詹姆斯·杜威·沃森,James D. Watson,http://www.wikidata.org/entity/Q83333
巴甫洛夫,Ivan Pavlov,http://www.wikidata.org/entity/Q42985
札希·哈瓦斯,Zahi Hawass,http://www.wikidata.org/entity/Q140575
罗伯特·G·爱德华兹,Robert Edwards,http://www.wikidata.org/entity/Q104913
吕克·蒙塔尼耶,Luc Montagnier,http://www.wikidata.org/entity/Q103598
奧特·克里斯托弗·希爾根貝格,Ott Christoph Hilgenberg,http://www.wikidata.org/entity/Q91248
松本行弘,Yukihiro Matsumoto,http://www.wikidata.org/entity/Q92748
罗伯特·泰潘·莫里斯,Robert Tappan Morris,http://www.wikidata.org/entity/Q92647
羅伯特·塔揚,Robert Tarjan,http://www.wikidata.org/entity/Q92638
谢尔登·格拉肖,Sheldon Lee Glashow,http://www.wikidata.org/entity/Q107420
埃黎耶·埃黎赫·梅契尼可夫,Ilya Mechnikov,http://www.wikidata.org/entity/Q172254
安德雷亚斯·维萨里,Andreas Vesalius,http://www.wikidata.org/entity/Q170267
罗吉尔·培根,Roger Bacon,http://www.wikidata.org/entity/Q171677
尤斯图斯·冯·李比希,Justus von Liebig,http://www.wikidata.org/entity/Q16571
戈特弗里德·莱布尼茨,Gottfried Wilhelm Leibniz,http://www.wikidata.org/entity/Q9047
列奥纳多·达·芬奇,Leonardo da Vinci,http://www.wikidata.org/entity/Q762
让·多塞,Jean Dausset,http://www.wikidata.org/entity/Q152760
沃纳·冯·布劳恩,Wernher von Braun,http://www.wikidata.org/entity/Q57384
瑪麗-路易絲·弗蘭絲,Marie-Louise von Franz,http://www.wikidata.org/entity/Q60236
"利根川進,",Susumu Tonegawa,http://www.wikidata.org/entity/Q108602
奥托·迪尔斯,Otto Diels,http://www.wikidata.org/entity/Q76616
弗拉迪米爾·彼得·柯本,Wladimir Köppen,http://www.wikidata.org/entity/Q76991
托馬斯·薩斯,Thomas Szasz,http://www.wikidata.org/entity/Q66162
鲁道夫·菲尔绍,Rudolf Virchow,http://www.wikidata.org/entity/Q76432
伊格納齊·武卡謝維奇,Ignacy Łukasiewicz,http://www.wikidata.org/entity/Q28978
康拉德·雅各·特明克,Coenraad Jacob Temminck,http://www.wikidata.org/entity/Q31621
愛德華·泰勒,Edward Teller,http://www.wikidata.org/entity/Q6733
姚基姆·卡梅拉留斯,Joachim Camerarius,http://www.wikidata.org/entity/Q64361
戈尔曼·季托夫,Gherman Titov,http://www.wikidata.org/entity/Q152298
尤爾根·莫澤爾,Jürgen Moser,http://www.wikidata.org/entity/Q65209
朗伯·阿道夫·雅克·凯特勒,Adolphe Quetelet,http://www.wikidata.org/entity/Q20012
康斯坦丁·齐奥尔科夫斯基,Konstantin Eduardovich Tsiolkovskii,http://www.wikidata.org/entity/Q41239
克里斯蒂安·伯克兰,Kristian Birkeland,http://www.wikidata.org/entity/Q461624
答迪厄,Auguste Ambroise Tardieu,http://www.wikidata.org/entity/Q458966
弗拉基米爾·阿諾爾德,Vladimir Arnold,http://www.wikidata.org/entity/Q157642
爱德华·修斯,Eduard Suess,http://www.wikidata.org/entity/Q156941
皮埃爾·莫佩爾蒂,Pierre Louis Maupertuis,http://www.wikidata.org/entity/Q164374
桃樂絲·安得森,Dorothy Hansine Andersen,http://www.wikidata.org/entity/Q469231
伯納德·霍伊維爾曼,Bernard Heuvelmans,http://www.wikidata.org/entity/Q542873
米奈·愛德華,Alphonse Milne-Edwards,http://www.wikidata.org/entity/Q542059
卢伊斯·弗德里科·莱洛伊尔,Luis Federico Leloir,http://www.wikidata.org/entity/Q233985
巴茹·贝纳塞拉夫,Baruj Benacerraf,http://www.wikidata.org/entity/Q234701
盖欧尔格·冯·贝凯希,Georg von Békésy,http://www.wikidata.org/entity/Q238716
約翰·白努利,Johann Bernoulli,http://www.wikidata.org/entity/Q227897
费奥多西·多布然斯基,Theodosius Dobzhansky,http://www.wikidata.org/entity/Q246731
阿德里安·彼得·伯德,Adrian Peter Bird,http://www.wikidata.org/entity/Q373925
罗宾·沃伦,Robin Warren,http://www.wikidata.org/entity/Q208670
伊利亚·普里高津,Ilya Prigogine,http://www.wikidata.org/entity/Q183509
詹姆士·克洛爾,James Croll,http://www.wikidata.org/entity/Q183189
北岡明佳,Akiyoshi Kitaoka,http://www.wikidata.org/entity/Q419489
喬治·康居朗,Georges Canguilhem,http://www.wikidata.org/entity/Q433741
安迪·葛洛夫,Andrew Grove,http://www.wikidata.org/entity/Q432929
利維·維谷斯基,Lev Vygotski,http://www.wikidata.org/entity/Q180819
布丰,"Georges-Louis Leclerc, Comte de Buffon",http://www.wikidata.org/entity/Q229264
戴安·弗西,Dian Fossey,http://www.wikidata.org/entity/Q234224
