label,cityLabel,countryLabel
格拉西宫,Palazzo Grassi,Italy
罗斯柴尔德宫,Palais Rothschild,Austria
马丁尼兹宫,Q283935,Czech Republic
塔夫利宫,Tauride Palace,Russia
夏洛滕霍夫宮,Charlottenhof Palace,Germany
路德维希堡宫,Ludwigsburg Palace,Germany
國立雷伊斯博物館,National Museum Soares dos Reis,Portugal
都灵王宫,Royal Palace of Turin,Italy
联邦宫,Federal Palace of Switzerland,Switzerland
施瓦岑贝格宫,Schwarzenberg Palace,Czech Republic
科洛尔诺公爵宫,Ducal Palace of Colorno,Italy
雷佐尼科宫,Ca' Rezzonico,Italy
彼得大帝夏宫,Summer Palace of Peter I,Russia
伟大宫殿,Palazzo del Magnifico,Italy
斯福爾扎-切薩里尼宮 (真扎諾-迪羅馬),Palazzo Sforza-Cesarini,Italy
烏迪內大主教宮,Patriarchal Palace,Italy
迎宾馆赤坂离宫,Akasaka Palace,Japan
罗昂宫,"Palais Rohan, Bordeaux",France
查理五世宫,Palace of Charles V,Spain
利庇喇宮,Ribeira Palace,Portugal
故宫,Forbidden City,People's Republic of China
新加坡总统府,Istana,Singapore
奥花园宫,Palais Augarten,Austria
國家克里姆林宮,State Kremlin Palace,Russia
明故宫,Ming Palace,People's Republic of China
罗布林卡,Norbulingka,People's Republic of China
切宁宫,Černín Palace,Czech Republic
大克里姆林宮,Grand Kremlin Palace,Russia
大教长宫,Grandmaster's Palace,Malta
忘憂宮,Klai Kangwon Palace,Thailand
太和殿 (順化),Q6826745,Vietnam
总主教宫,Q543225,Czech Republic
埃根博格城堡,"Eggenberg Castle, Graz",Austria
格拉纳达伊斯兰学校,Madrasah of Granada,Spain
萨尔茨堡主教宫,Salzburg Residenz,Austria
佩纳宫,Pena National Palace,Portugal
执政官宫 (比萨),Q3890716,Italy
贝勒贝伊宫,Beylerbeyi Palace,Turkey
证券交易所宫,Palácio da Bolsa,Portugal
阿爾哈發利亞宮,Aljafería,Spain
哈加宮,Haga Palace,Sweden
布达拉宫,Potala Palace,People's Republic of China
阿仁伽里奥宫,Palazzo dell'Arengario,Italy
巴塞罗那大王宫,Palau Reial Major,Spain
总主教宫,Archbishop's Palace,Italy
施特恩伯格宫,Šternberský palác (Hradčany),Czech Republic
美泉宫,Schönbrunn Palace,Austria
阿伦德尔府,Arundel House,United Kingdom
下奥地利宫,Palais Niederösterreich,Austria
国家宫,National Palace,Mexico
元佑宫,Q10889548,People's Republic of China
普廖里宮,Palazzo dei Priori,Italy
阿茹达宫,Ajuda National Palace,Portugal
茨温格宫,Zwinger,Germany
維曼默宮,Vimanmek Mansion,Thailand
帕拉维奇尼-坎比亚索宫,Q3890590,Italy
风之宫,Hawa Mahal,India
圣伊尔德丰索宫,Royal Palace of La Granja de San Ildefonso,Spain
冬宫,Winter Palace,Russia
察里津公園,Tsaritsyno Park,Russia
市政宮 (費拉拉),palazzo municipale,Italy
宗主教宫 (威尼斯),Palazzo Patriarcale,Italy
尼科洛·洛美里尼宫,Q3890551,Italy
土耳其商馆,Fondaco dei Turchi,Italy
乌古其奥尼宫,Palazzo Uguccioni,Italy
圣乔治宫,Palazzo San Giorgio,Italy
沈阳故宫,Mukden Palace,People's Republic of China
高天鹅堡,Hohenschwangau Castle,Germany
保禄五世宫,Q3890611,Italy
卡雷加-卡塔尔迪宫,Q3889811,Italy
德拉·馬奇納宮,Q3891455,Italy
执政官官邸 (维罗纳),Q3891343,Italy
耶稣会宫,Q3891208,Italy
莱奇兄弟会宫,Q3891450,Italy
夏乐宫,Palais du Trocadéro,France
蒙扎的皇家别墅,Royal Villa of Monza,Italy
圣马丁宫,San Martín Palace,Argentina
总督宫,Doge's Palace,Italy
诺曼王宫,Palazzo dei Normanni,Italy
圣本笃宫,São Bento Palace,Portugal
人民宫,Palazzo del Popolo,Italy
统领宫,Palazzo del Capitano,Italy
