label,cityLabel,countryLabel
衿井站,Geumjeong Station,South Korea
衿川区厅站,Geumcheon-gu Office Station,South Korea
都羅山站,Dorasan Station,South Korea
餅店站,Byeongjeom Station,South Korea
白俄羅斯站,Belorussky railway station,Russia
都島站,Miyakojima Station,Japan
關目高殿站,Sekime-Takadono Station,Japan
哥德堡中央車站,Gothenburg Central Station,Sweden
西永福站,Nishi-Eifuku Station,Japan
春衣站,Chunui Station,South Korea
梦村土城站,Mongchontoseong Station,South Korea
注葉站,Juyeop Station,South Korea
溫水站,Onsu Station,South Korea
花井站,Hwajeong Station,South Korea
丹徒站,Dantu Railway Station,People's Republic of China
新基站,Singi Station,South Korea
野塔站,Yatap Station,South Korea
地下鐵赤塚站,Chikatetsu-Akatsuka Station,Japan
水天宮前站,Suitengūmae Station,Japan
汐見橋站,Shiomibashi Station,Japan
阿姆斯特丹中央車站,Amsterdam Centraal,Netherlands
秋傑站,Chow Kit Monorail station,Malaysia
安国站,Anguk Station,South Korea
坡州站,Paju Station,South Korea
安養站,Anyang Station,South Korea
新木洞站,Sinmokdong Station,South Korea
新盤浦站,Sinbanpo Station,South Korea
新論峴站,Sinnonhyeon Station,South Korea
月笼站,Wollong Station,South Korea
汶山站,Munsan Station,South Korea
細柳站,Seryu Station,South Korea
銅雀站,Dongjak Station,South Korea
金村站,Geumchon Station,South Korea
中崎町站,Nakazakichō Station,Japan
文之里車站,Fuminosato Station,Japan
斯德哥爾摩中央車站,Stockholm Central Station,Sweden
富川综合运动场站,Bucheon Stadium Station,South Korea
新中洞站,Sinjungdong Station,South Korea
蚕室站,Jamsil Station,South Korea
鹊洞站,Kkachiul Station,South Korea
鼎钵山站,Jeongbalsan Station,South Korea
二梅站,Imae Station,South Korea
嘉泉大站,Gachon University Station,South Korea
宣靖陵站,Seonjeongneung Station,South Korea
新道林站,Sindorim Station,South Korea
狎鸥亭罗德奥站,Apgujeong Rodeo Station,South Korea
上野御徒町站,Ueno-okachimachi Station,Japan
半藏門站,Hanzōmon Station,Japan
地下鐵成增站,Chikatetsu-Narimasu Station,Japan
國道站,Kokudō Station,Japan
守口站,Moriguchi Station,Japan
中百舌鳥站,Nakamozu Station,Japan
竹橋站,Takebashi Station,Japan
茅場町站,Kayabachō Station,Japan
文井站,Munjeong Station,South Korea
福井站,Bokjeong Station,South Korea
大甕車站,Ōmika Station,Japan
高井戶站,Takaido Station,Japan
美丹端姑站,Medan Tuanku Monorail station,Malaysia
华西站,Hwaseo Station,South Korea
国会议事堂站,National Assembly Station,South Korea
曾米站,Jeungmi Station,South Korea
金泉龜尾站,Gimcheon–Gumi Station,South Korea
黑石站,Heukseok Station,South Korea
乙支路3街站,Euljiro 3-ga Station,South Korea
三山体育馆站,Samsan Gymnasium Station,South Korea
元堂站,Wondang Station,South Korea
掘浦川站,Gulpocheon Station,South Korea
松坡站,Songpa Station,South Korea
亭子站,Jeongja Station,South Korea
江南区厅站,Gangnam-gu Office Station,South Korea
永登浦站,Yeongdeungpo Station,South Korea
道谷站,Dogok Station,South Korea
太平站,Taepyeong Station,South Korea
九段下站,Kudanshita Station,Japan
咖啡山站,Bukit Nanas Monorail station,Malaysia
拉惹朱蘭站,Raja Chulan Monorail station,Malaysia
燕美站,Imbi Monorail station,Malaysia
车道沟站,Chedaogou Station,People's Republic of China
义王站,Uiwang Station,South Korea
加陽站,Gayang Station,South Korea
柏林北站,Berlin Nordbahnhof,Germany
旧盘浦站,Gubanpo Station,South Korea
水原站,Suwon Station,South Korea
阳川乡校站,Yangcheonhyanggyo Station,South Korea
蒂永维勒站,Thionville railway station,France
南千住站,Minami-Senju Station,Japan
新御徒町站,Shin-Okachimachi Station,Japan
新御茶之水站,Shin-Ochanomizu Station,Japan
常陸多賀車站,Hitachi-Taga Station,Japan
天旺站,Cheonwang Station,South Korea
富川市厅站,Bucheon City Hall Station,South Korea
江东区厅站,Gangdong-gu Office Station,South Korea
石村站,Seokchon Station,South Korea
长旨站,Jangji Station,South Korea
斯图加特中央总站,Stuttgart Central Station,Germany
玉水站,Oksu Station,South Korea
上洞站,Sang-dong Station,South Korea
牡丹站,Moran Station,South Korea
中浪站,Jungnang Station,South Korea
漢堤站,Hanti Station,South Korea
禅岩站,Seonbawi Station,South Korea
白石站,Baekseok Station,South Korea
雲林車站,THSR Yunlin Station,Taiwan
千林大宮站,Sembayashi-Omiya Station,Japan
四天王寺前夕陽丘站,Shitennōji-mae Yūhigaoka Station,Japan
川崎站,Kawasaki Station,Japan
明治神宮前站,Meiji-Jingūmae Station,Japan
野江內代站,Noe-Uchindai Station,Japan
三江站,Saetgang Station,South Korea
仙遊島站,Seonyudo Station,South Korea
登村站,Deungchon Station,South Korea
蔚山站,Ulsan Station,South Korea
麻谷津站,Magongnaru Station,South Korea
鷺得站,Nodeul Station,South Korea
鷺梁津站,Noryangjin Station,South Korea
大化站,Daehwa Station,South Korea
景福宮站,Gyeongbokgung Station,South Korea
獨立門站,Dongnimmun Station,South Korea
吕城站,Lvcheng Railway Station,People's Republic of China
平和台站,Heiwadai Station,Japan
大红门站,Dahongmen Station,People's Republic of China
東十字車站,Ostkreuz,Germany
釜山站,Busan Station,South Korea
丽水世博站,Yeosu EXPO Station,South Korea
翁塞火車站,Once railway station,Argentina
乔丹山车站,Jordanhill railway station,United Kingdom
武吉免登站,Bukit Bintang Monorail station,Malaysia
大母山入口站,Daemosan Station,South Korea
書峴站,Seohyeon Station,South Korea
水西站,Suseo Station,South Korea
美金站,Migeum Station,South Korea
馬頭站,Madu Station,South Korea
斯勞站,Slough railway station,United Kingdom
大森車站,Ōmori Station,Japan
押上站,Oshiage Station,Japan
清澄白河站,Kiyosumi-shirakawa Station,Japan
磯子車站,Isogo Station,Japan
日立車站,Hitachi Station,Japan
大宮站,Ōmiya Station,Japan
幸信站,Haengsin Station,South Korea
新村站,Sinchon Station (Gyeongui Line),South Korea
金浦机场站,Gimpo International Airport Station,South Korea
三門站 (千葉縣),Mikado Station,Japan
安房勝山站,Awa-Katsuyama Station,Japan
大貫站,Ōnuki Station,Japan
太東站,Taitō Station,Japan
浪花站,Namihana Station,Japan
茂原站,Mobara Station,Japan
青堀站,Aohori Station,Japan
大谷站,Daegok Station,South Korea
端岡站,Hashioka Station,Japan
波茲南火車總站,Poznań Główny,Poland
佛光站,Bulgwang Station,South Korea
碌磻站,Nokbeon Station,South Korea
薮内站,Sunae Station,South Korea
驹城站,Guseong Station,South Korea
玉出站,Tamade Station,Japan
麻布十番站,Azabu-Jūban Station,Japan
大井町站,Ōimachi Station,Japan
東十條站,Higashi-Jūjō Station,Japan
東大入口站,Dongguk University Station,South Korea
仁川国际机场站,Incheon International Airport Station,South Korea
冰川台站,Hikawadai Station,Japan
小竹向原站,Kotake-mukaihara Station,Japan
朝熊站,Asama Station,Japan
攝津富田站,Settsu-Tonda Station,Japan
峨嵯山站,Achasan Station,South Korea
三松站,Samsong Station,South Korea
孔陵站,Gongneung Station,South Korea
弘濟站,Hongje Station,South Korea
母岳斋站,Muakjae Station,South Korea
紙杻站,Jichuk Station,South Korea
舊把撥站,Gupabal Station,South Korea
宝亭站,Bojeong Station,South Korea
开浦洞站,Gaepo-dong Station,South Korea
新葛站,Singal Station,South Korea
北加賀屋站,Kitakagaya Station,Japan
南巽站,Minami-Tatsumi Station,Japan
姬路車站,Himeji Station,Japan
東新宿站,Higashi-Shinjuku Station,Japan
月島站,Tsukishima Station,Japan
白金台站,Shirokanedai Station,Japan
藏前站,Kuramae Station,Japan
西大橋站 (大阪府),Nishiōhashi Station,Japan
新沙站,Sinsa Station,South Korea
逸院站,Irwon Station,South Korea
印威內斯車站,Inverness railway station,United Kingdom
希斯洛機場5號航廈站,Heathrow Terminal 5 station,United Kingdom
亨厄洛站,Hengelo railway station,Netherlands
原宿站,Harajuku Station,Japan
大阪站,Ōsaka Station,Japan
一山站,Ilsan Station,South Korea
加山數碼團地站,Gasan Digital Complex Station,South Korea
水色站,Susaek Station,South Korea
花田站,Hwajeon Station,South Korea
金陵站,Geumneung Station,South Korea
黔岩站,Geomam Station,South Korea
兵庫站,Hyōgo Station,Japan
岸邊站,Kishibe Station,Japan
木古內車站,Kikonai Station,Japan
濟物浦站,Jemulpo Station,South Korea
間石站,Ganseok Station,South Korea
泰陵入口站,Taereung Station,South Korea
马得站,Madeul Station,South Korea
松内站,Songnae Station,South Korea
北巽站,Kita-Tatsumi Station,Japan
白金高輪站,Shirokane-takanawa Station,Japan
花園町站,Hanazonochō Station,Japan
白云站,Baegun Station,South Korea
枫山站,Pungsan Station,South Korea
大清站,Daecheong Station,South Korea
大原站 (千葉縣),Ōhara Station,Japan
蠶院站,Jamwon Station,South Korea
御宿站,Onjuku Station,Japan
临津江站,Imjingang Station,South Korea
机场货物办公楼站,Incheon International Airport Cargo Terminal Station,South Korea
谷山站,Goksan Station,South Korea
陵谷站,Neunggok Station,South Korea
濱金谷站,Hamakanaya Station,Japan
神樂坂站,Kagurazaka Station,Japan
造田站,Zōda Station,Japan
草房站,Caofang Station,People's Republic of China
伊塞勒,Iselle di Trasquera railway station,Italy
下溪站,Hagye Station,South Korea
中溪站,Junggye Station,South Korea
大崎站,Ōsaki Station,Japan
墨洞站,Meokgol Station,South Korea
東小金井站,Higashi-Koganei Station,Japan
板橋站 (日本),Itabashi Station,Japan
水落山站,Suraksan Station,South Korea
石川町車站,Ishikawachō Station,Japan
道峰山站,Dobongsan Station,South Korea
保田站 (千葉縣),Hota Station,Japan
東大門站,Dongdaemun Station,South Korea
桃源站,Dowon Station,South Korea
西安站,Xi'an Railway Station,People's Republic of China
梅峰站,Maebong Station,South Korea
药水站,Yaksu Station,South Korea
延新內站,Yeonsinnae Station,South Korea
鶴灘站,Hangnyeoul Station,South Korea
上總湊站,Kazusa-Minato Station,Japan
竹岡站,Takeoka Station,Japan
東梅田站,Higashi-Umeda Station,Japan
落合站,Ochiai Station,Japan
門前仲町站,Monzen-Nakachō Station,Japan
山田上口車站,Yamada-Kamiguchi Station,Japan
曼谷站,Bangkok Railway Station,Thailand
南泰岭站,Namtaeryeong Station,South Korea
正往站,Jeongwang Station,South Korea
东大桥站,Dongdaqiao Station,People's Republic of China
云井站,Unjeong Station,South Korea
加佐站,Gajwa Station,South Korea
炭岘站,Tanhyeon Station,South Korea
长岩站,Jangam Station,South Korea
傑赫勒姆,Jhelum,Pakistan
橋本車站,Hashimoto Station,Japan
佐貫町站,Sanukimachi Station,Japan
格但斯克火車總站,Gdańsk Główny railway station,Poland
十里堡站,Shilipu Station,People's Republic of China
川越站,Kawagoe Station,Japan
鸡街火车站,Q800969,People's Republic of China
南部巴士总站,Nambu Bus Terminal Station,South Korea
大峙站,Daechi Station,South Korea
狎鷗亭站,Apgujeong Station,South Korea
益山站,Iksan Station,South Korea
良才站,Yangjae Station,South Korea
金湖站,Geumho Station,South Korea
白马站,Baengma Station,South Korea
富平站,Bupyeong Station,South Korea
元町站 (兵庫縣),Motomachi Station,Japan
千里丘站,Senrioka Station,Japan
青森站,Aomori Station,Japan
伊斯馬寧車站,Ismaning station,Germany
大塚站 (東京都),Ōtsuka Station,Japan
東中野站,Higashi-Nakano Station,Japan
喀什站,Kashgar Railway Station,People's Republic of China
日野站 (東京都),Hino Station,Japan
班贝格车站,Bamberg station,Germany
神田站,Kanda Station,Japan
自由之丘站,Jiyūgaoka Station,Japan
中洞站,Jung-dong Station,South Korea
新亭站,Sinjeong Station,South Korea
銅岩站,Dongam Station,South Korea
本鄉三丁目站,Hongō-sanchōme Station,Japan
貝爾格勒中央車站,Belgrade Main railway station,Serbia
柏林-万湖站,Berlin-Wannsee station,Germany
衛戍大本營車站,Frankfurt Hauptwache station,Germany
安房小湊站,Awa-Kominato Station,Japan
本納站,Honnō Station,Japan
江見站,Emi Station,Japan
鵜原站,Ubara Station,Japan
汉江镇站,Hangangjin Station,South Korea
安城車站,Anjō Station,Japan
達豪車站,Dachau station,Germany
彩云信号场,Q818359,South Korea
陰城站,Eumseong Station,South Korea
黒石里站,Heukseong-ri Station,South Korea
京王堀之內站,Keiō-Horinouchi Station,Japan
池之浦站,Ikenoura Station,Japan
森車站,Mori Station,Japan
住之江公園車站,Suminoekōen Station,Japan
野田阪神站,Nodahanshin Station,Japan
聖德尼大教堂站,Basilique de Saint-Denis,France
大口車站,Ōguchi Station,Japan
上水站,Sangsu Station,South Korea
巴塞隆納桑斯車站,Barcelona Sants railway station,Spain
公田站,Gongjeon Station,South Korea
甫川站,Bocheon Station,South Korea
館山站,Tateyama Station,Japan
淸州空港站,Cheongju Int'l Airport Station,South Korea
牧杏站,Mokhaeng Station,South Korea
蘇伊站,Soi Station,South Korea
杜塞爾多夫中央車站,Düsseldorf Central Station,Germany
和田河原站,Wadagahara Station,Japan
東二見車站,Higashi-Futami Station,Japan
新代田站,Shin-Daita Station,Japan
玉川站 (大阪府),Tamagawa Station,Japan
道安站,Doan Station,South Korea
布里翁-蒙特雷阿拉克吕斯站,Q568330,France
帝國碼頭站,Imperial Wharf railway station,United Kingdom
波羅的海站,Baltiysky railway station,Russia
小倉站 (福岡縣),Kokura Station,Japan
菊名站,Kikuna Station,Japan
駒込站,Komagome Station,Japan
南浦和車站,Minami-Urawa Station,Japan
新越谷站,Shin-Koshigaya Station,Japan
西新宿五丁目站,Nishi-Shinjuku-gochōme Station,Japan
國見站,Kunimi Station,Japan
普门站,Bomun Station,South Korea
禾谷站,Hwagok Station,South Korea
乌耳岛站,Oido Station,South Korea
仙鹤站,Seonhak Station,South Korea
凡溪站,Beomgye Station,South Korea
大夜味站,Daeyami Station,South Korea
廣渡口站,Gwangnaru Station,South Korea
木洞站,Mok-dong Station,South Korea
汝矣渡口站,Yeouinaru Station,South Korea
道禾站,Dohwa Station,South Korea
梨水站,Isu Station,South Korea
내수站,Naesu Station,South Korea
佳水院站,Gasuwon Station,South Korea
周德站,Judeok Station,South Korea
淸州站,Cheongju Station,South Korea
達川站,Dalcheon Station,South Korea
高井田車站,Takaida Station,Japan
弗德里克,Fderîck,Mauritania
慕尼黑-帕興車站,München-Pasing station,Germany
漢堡-哈爾堡車站,Hamburg-Harburg station,Germany
千倉站,Chikura Station,Japan
千歲站 (千葉縣),Chitose Station,Japan
勝浦站,Katsuura Station,Japan
永田車站 (千葉縣),Nagata Station,Japan
开姆尼茨火车总站,Chemnitz Hauptbahnhof,Germany
杜伊斯堡火车总站,Duisburg Central Station,Germany
上總一之宮站,Kazusa-Ichinomiya Station,Japan
南三原站,Minamihara Station,Japan
和田浦站,Wadaura Station,Japan
東浪見站,Torami Station,Japan
長者町站,Chōjamachi Station,Japan
