label,riverLabel,countryLabel
華納達爾斯赫努克火山,Hvannadalshnúkur,Iceland
南奥索峰,Pic du Midi d'Ossau,France
普金蒂卡火山,Pukintika,Chile
普金蒂卡火山,Pukintika,Bolivia
特雷斯雷斯山脈,Mesa de los Tres Reyes,France
吉野山,Mount Yoshino,Japan
特雷斯雷斯山脈,Mesa de los Tres Reyes,Spain
摩尔多韦亚努峰,Moldoveanu Peak,Romania
卡里瓦伊拉索火山,Carihuairazo,Ecuador
多姆峰,Dom,Switzerland
安托法亞火山,Antofalla,Argentina
德科帕韋火山,Copahue,Argentina
坎皮佛莱格瑞,Phlegraean Fields,Italy
法爾特羅納峰,Monte Falterona,Italy
阿特納火山,Atna Peaks,United States of America
馬拉山脈,Marrah Mountains,Sudan
番西邦峰,Fansipan,Vietnam
曼利申,Männlichen,Switzerland
阿科坦戈火山,Acotango,Chile
阿科坦戈火山,Acotango,Bolivia
馬蓋克火山,Mount Mageik,United States of America
查亞峰,Puncak Jaya,Indonesia
雲仙岳,Mount Unzen,Japan
羅布崎峰,Lobuche,Nepal
博戈斯洛夫島,Bogoslof Island,United States of America
慕士塔格峰,Muztagh Ata,People's Republic of China
維柳欽斯基火山,Vilyuchik,Russia
阿拉卡爾火山,Aracar,Argentina
內布利納峰,Pico da Neblina,Venezuela
奧坎基爾查峰,Aucanquilcha,Chile
內布利納峰,Pico da Neblina,Brazil
帕卡亚火山,Pacaya,Guatemala
五台山,Mount Wutai,People's Republic of China
倫蓋火山,Ol Doinyo Lengai,Tanzania
埃斯科里亞爾山,Cerro Escorial,Argentina
泰格伯格山,Tegelberg,Germany
埃斯科里亞爾山,Cerro Escorial,Chile
布拉万高原,Bolaven Plateau,Laos
布道台,Preikestolen,Norway
沃爾坎火山,Vulcan,Papua New Guinea
天皇山,Cheonhwangsan,South Korea
髮校山,Balgyosan,South Korea
鸡冠山,Gyegwansan,South Korea
希里尚卡山,Jirishanca,Peru
科夫雷德佩羅特峰,Cofre de Perote,Mexico
澤勒邁火山,Gunung Cereme,Indonesia
布盧普布盧普島,Blup Blup,Papua New Guinea
本尼维斯山,Ben Nevis,United Kingdom
莫慕希爾峰,Momhil Sar,Pakistan
帕賽爾峰,Parseierspitze,Austria
卡朗圖厄爾山,Carrauntoohil,Ireland
苏巴修山,Monte Subasio,Italy
塔夫坦火山,Kūh-e Taftān,Iran
科西圭纳火山,Cosigüina,Nicaragua
孔雀山,Gongjaksan,South Korea
巴甫洛夫火山,Mount Pavlof,United States of America
图卜卡勒峰,Jbel Toubkal,Morocco
火焰山,Flaming Mountains,People's Republic of China
卡爾布科火山,Calbuco,Chile
奥林匹斯山,Mount Olympus,United States of America
牛增山,Govardhan hill,India
圖里亞爾瓦火山,Turrialba Volcano,Costa Rica
广德山,Gwangdeoksan,South Korea
汤加里罗山,Mount Tongariro,New Zealand
厄賴法耶屈德爾火山,Öræfajökull,Iceland
衡山,Mount Heng,People's Republic of China
摩西山 (摩洛哥),Jebel Moussa,Morocco
士拉末火山,Gunung Slamet,Indonesia
烏什巴山,Ushba,Georgia
斯卡巴島,Scarba,United Kingdom
魔鬼塔,Devils Tower,United States of America
雅諾什山,Jánoshegy,Hungary
苏尔穆纳梅吉,Suur Munamägi,Estonia
尼德峰,Niederhorn,Switzerland
莫莫通博火山,Momotombo,Nicaragua
蓋勒特山,Gellért Hill,Hungary
天登山,Cheondeungsan,South Korea
塔巴纳恩特莱尼亚纳山,Thabana Ntlenyana,Lesotho
甘地嘉峰,Kangtega,Nepal
萬特桑山,Huantsán,Peru
耶魯帕哈峰,Yerupajá,Peru
卡巴利安火山,Cabalian Volcano,Philippines
華盛頓山 (新罕布什爾州),Mount Washington,United States of America
薩比尼奧火山,Mount Sabyinyo,Rwanda
特洛莫約火山,Gunung Telomoyo,Indonesia
