label,riverLabel,countryLabel
美國國道1,U.S. Route 1,United States of America
美國國道11,U.S. Route 11,United States of America
皇家之路,Royal Route,Poland
欧洲E532公路,European route E532,Germany
24號州際公路,Interstate 24,United States of America
25號州際公路,Interstate 25,United States of America
26号州际公路,Interstate 26,United States of America
49号州际公路,Interstate 49,United States of America
59号州际公路,Interstate 59,United States of America
69号州际公路,Interstate 69,United States of America
72号州际公路,Interstate 72,United States of America
卡納比街,Carnaby Street,United Kingdom
仰光–曼德勒高速公路,Yangon-Mandalay Expressway,Myanmar
105号州际公路 (加利福尼亚州),Interstate 105,United States of America
880號州際公路,Interstate 880,United States of America
980號州際公路,Interstate 980,United States of America
M8公路 (巴基斯坦),M8 motorway,Pakistan
205號州際公路,Interstate 205,United States of America
680號州際公路,Interstate 680,United States of America
美国国道2,U.S. Route 2,United States of America
美国国道7,U.S. Route 7,United States of America
阿公岩道,A Kung Ngam Road,People's Republic of China
縣道118號,City Road 118,Taiwan
縣道119號,County Road 119,Taiwan
法院巷,Chancery Lane,United Kingdom
國道367號,Japan National Route 367,Japan
12號州際公路,Interstate 12,United States of America
29號州際公路,Interstate 29,United States of America
99号加利福尼亚州州道,California State Route 99,United States of America
美国国道13,U.S. Route 13,United States of America
美国国道15,U.S. Route 15,United States of America
美国国道199,U.S. Route 199,United States of America
美国国道8,U.S. Route 8,United States of America
欧洲E60公路,European route E60,France
欧洲E60公路,European route E60,Kyrgyzstan
欧洲E60公路,European route E60,Austria
欧洲E60公路,European route E60,Germany
欧洲E60公路,European route E60,Azerbaijan
欧洲E60公路,European route E60,Georgia
欧洲E60公路,European route E60,Switzerland
大洋路,Great Ocean Road,Australia
欧洲E60公路,European route E60,Hungary
1號國道,N1 road,South Africa
2號國道,N2 road,South Africa
6號國道,N6 road,South Africa
5號州際公路,Interstate 5,United States of America
欧洲E60公路,European route E60,Uzbekistan
美国66号公路,U.S. Route 66,United States of America
欧洲E60公路,European route E60,Romania
欧洲E36公路,European route E36,Poland
國道26號,National Highway 26,India
66號州際公路,Interstate 66,United States of America
44号州际公路,Interstate 44,United States of America
55號州際公路,Interstate 55,United States of America
71号州际公路,Interstate 71,United States of America
縣道117號,County Road 117,Taiwan
16號州際公路,Interstate 16,United States of America
19號州際公路,Interstate 19,United States of America
45號州際公路,Interstate 45,United States of America
65號州際公路,Interstate 65,United States of America
380號州際公路,Interstate 380,United States of America
德國100號高速公路,Bundesautobahn 100,Germany
宽街,Broad Street,United Kingdom
欧洲E42公路,European route E42,Belgium
欧洲E42公路,European route E42,France
欧洲E42公路,European route E42,Germany
505號州際公路,Interstate 505,United States of America
亞洲公路3號線,AH3,Myanmar
亞洲公路3號線,AH3,Russia
亞洲公路3號線,AH3,Mongolia
欧洲E7公路,European route E07,France
國道11號,National Highway 11,India
欧洲E7公路,European route E07,Spain
亞洲公路3號線,AH3,People's Republic of China
215号州际公路,Interstate 215,United States of America
希臘8號高速公路,Olympia Odos,Greece
亚洲公路11号线,AH11,Cambodia
鳥羽志勢廣域聯合,Japan National Route 167,Japan
亞洲公路3號線,AH3,Thailand
亞洲公路3號線,AH3,Laos
悉尼大道,Sydney Road,Australia
美国国道41,U.S. Route 41,United States of America
A140路,A140 road,United Kingdom
亚洲公路11号线,AH11,Laos
公园径,Park Lane,United Kingdom
10号州际公路加利福尼亚州段,Interstate 10 in California,United States of America
5号州际公路加利福尼亚州段,Interstate 5 in California,United States of America
110号州际公路和110号加利福尼亚州州道,Interstate 110 and State Route 110,United States of America
710号州际公路和710号加利福尼亚州州道,Interstate 710,United States of America
780號州際公路,Interstate 780,United States of America
805号州际公路,Interstate 805,United States of America
美国国道10,U.S. Route 10,United States of America
美国国道12,U.S. Route 12,United States of America
美国国道14,U.S. Route 14,United States of America
美国国道3,U.S. Route 3,United States of America
骑士桥,Knightsbridge,United Kingdom
欧洲E802公路,European route E802,Portugal
4號州際公路,Interstate 4,United States of America
欧洲E22公路,European route E22,United Kingdom
欧洲E40公路,European route E40,Belgium
欧洲E40公路,European route E40,France
欧洲E40公路,European route E40,Kazakhstan
欧洲E40公路,European route E40,Kyrgyzstan
欧洲E22公路,European route E22,Netherlands
欧洲E22公路,European route E22,Russia
欧洲E40公路,European route E40,Russia
欧洲E40公路,European route E40,Ukraine
欧洲E22公路,European route E22,Germany
欧洲E40公路,European route E40,Germany
國道382號,Japan National Route 382,Japan
欧洲E22公路,European route E22,Sweden
欧洲E22公路,European route E22,Latvia
欧洲E40公路,European route E40,Poland
20號州際公路,Interstate 20,United States of America
37号州际公路,Interstate 37,United States of America
39号州际公路,Interstate 39,United States of America
40號州際公路,Interstate 40,United States of America
43号州际公路,Interstate 43,United States of America
欧洲E40公路,European route E40,Uzbekistan
欧洲E40公路,European route E40,Turkmenistan
欧洲E576公路,European route E576,Romania
泛美公路,Pan-American Highway,Paraguay
泛美公路,Pan-American Highway,Suriname
223国道,China National Highway 223,People's Republic of China
15号州际公路加利福尼亚州段,Interstate 15 in California,United States of America
605号州际公路 (加利福尼亚州),Interstate 605,United States of America
永加斯路,Yungas Road,Bolivia
奎納納高速公路,Kwinana Freeway,Australia
405号州际公路 (加利福尼亚州),Interstate 405,United States of America
美国国道5,U.S. Route 5,United States of America
美國國道101,U.S. Route 101 in California,United States of America
102国道,China National Highway 102,People's Republic of China
德納姆迴旋處,Denham Roundabout,United Kingdom
美国国道16,U.S. Route 16,United States of America
美国国道21,U.S. Route 21,United States of America
美国国道42,U.S. Route 42,United States of America
泛亞公路7號線,AH7,Kazakhstan
泛亞公路7號線,AH7,Kyrgyzstan
泛亞公路7號線,AH7,Pakistan
欧洲E311公路,European route E311,Netherlands
泛亞公路7號線,AH7,Russia
泛亞公路7號線,AH7,Tajikistan
泛亞公路7號線,AH7,Uzbekistan
國道20號,Japan National Route 20,Japan
安大略401號省道,Ontario Highway 401,Canada
當河谷園林公路,Don Valley Parkway,Canada
泛亞公路7號線,AH7,Afghanistan
94号加利福尼亚州州道,California State Route 94,United States of America
魔術迴旋處 (赫默爾亨普斯特德),Magic Roundabout,United Kingdom
務安光州高速公路,Muan–Gwangju Expressway,South Korea
平澤華城高速公路,Pyeongtaek–Hwaseong Expressway,South Korea
405号州际公路,Interstate 405,United States of America
欧洲E97公路,European route E97,Turkey
欧洲E97公路,European route E97,Russia
欧洲E97公路,European route E97,Ukraine
欧洲E97公路,European route E97,Georgia
580號州際公路,Interstate 580,United States of America
307国道,China National Highway 307,People's Republic of China
國道171號,Japan National Route 171,Japan
欧洲E76公路,European route E76,Italy
欧洲E45公路,European route E45,Denmark
泛美公路,Pan-American Highway,Costa Rica
泛美公路,Pan-American Highway,Panama
欧洲E45公路,European route E45,Austria
欧洲E45公路,European route E45,Germany
欧洲E45公路,European route E45,Italy
泛美公路,Pan-American Highway,Colombia
泛美公路,Pan-American Highway,El Salvador
泛美公路,Pan-American Highway,Honduras
泛美公路,Pan-American Highway,Nicaragua
欧洲E45公路,European route E45,Sweden
泛美公路,Pan-American Highway,Bolivia
泛美公路,Pan-American Highway,Guatemala
賽格爾廣場,Sergels torg,Sweden
865號州際公路,Interstate 865,United States of America
泛美公路,Pan-American Highway,Ecuador
泛美公路,Pan-American Highway,Guyana
哥倫布圓環,Columbus Circle,United States of America
美国国道20,U.S. Route 20,United States of America
美国国道23,U.S. Route 23,United States of America
美国国道24,U.S. Route 24,United States of America
美国国道35,U.S. Route 35,United States of America
洛根圆环,Logan Circle,United States of America
A104公路 (俄羅斯),Russian route A104,Russia
A108公路 (俄羅斯),Russian route A108,Russia
欧洲E584公路,European route E584,Ukraine
205号州际公路,Interstate 205,United States of America
605号州际公路 (华盛顿州),Interstate 605,United States of America
欧洲E584公路,European route E584,Moldova
M0公路,M0 motorway,Hungary
欧洲E584公路,European route E584,Romania
美国国道17,U.S. Route 17,United States of America
美国国道27,U.S. Route 27,United States of America
美国国道31,U.S. Route 31,United States of America
美国国道31E,U.S. Route 31E,United States of America
美国国道40,U.S. Route 40,United States of America
美国国道44,U.S. Route 44,United States of America
美国国道45,U.S. Route 45,United States of America
美国国道48,U.S. Route 48,United States of America
斯科特圆环,Scott Circle,United States of America
亞馬喇前地,Praça de Ferreira do Amaral,People's Republic of China
176街（15號公路）,British Columbia Highway 15,Canada
5号州际公路华盛顿州段,Interstate 5 in Washington,United States of America
465號州際公路,Interstate 465,United States of America
奧爾維拉街,Olvera Street,United States of America
賓州收費公路,Pennsylvania Turnpike,United States of America
國道3號 (玻利維亞),Bolivia Route 3,Bolivia
80號州際公路愛荷華州段,Interstate 80 in Iowa,United States of America
36號馬里蘭州州道,Maryland Route 36,United States of America
堪薩斯州收費公路,Kansas Turnpike,United States of America
美國491號公路,U.S. Route 491,United States of America
32号纽约州州道,New York State Route 32,United States of America
M20高速公路,M20 motorway,United Kingdom
欧洲E853公路,European route E853,Albania
60号加利福尼亚州州道,California State Route 60,United States of America
905号加利福尼亚州州道,California State Route 905,United States of America
91号加利福尼亚州州道,California State Route 91,United States of America
欧洲E853公路,European route E853,Greece
101号美国国道华盛顿州段,U.S. Route 101 in Washington,United States of America
华盛顿圆环,Washington Circle,United States of America
艾靈頓公爵圈,Duke Ellington Circle,United States of America
欧洲E90公路,European route E90,Turkey
欧洲E90公路,European route E90,Italy
欧洲E90公路,European route E90,Portugal
欧洲E90公路,European route E90,Spain
A4高速公路 (羅馬尼亞),A4 motorway,Romania
欧洲E90公路,European route E90,Greece
美国国道18,U.S. Route 18,United States of America
美国国道19,U.S. Route 19,United States of America
美国国道22,U.S. Route 22,United States of America
美国国道34,U.S. Route 34,United States of America
美国国道36,U.S. Route 36,United States of America
奧林匹克大路,Olympic Boulevard Expressway,South Korea
首都圈二環高速公路,Metropolitan Second Circular Expressway,South Korea
美国国道25,U.S. Route 25,United States of America
美国国道26,U.S. Route 26,United States of America
美国国道28,U.S. Route 28,United States of America
美国国道33,U.S. Route 33,United States of America
美国国道43,U.S. Route 43,United States of America
美国国道46,U.S. Route 46,United States of America
美國國道29,U.S. Route 29,United States of America
塞科溪畔公園大道,Arroyo Seco Parkway,United States of America
美國國道113,U.S. Route 113,United States of America
和平圆环,Peace Circle,United States of America
香港8號幹線,Route 8,People's Republic of China
魔術迴旋處 (科爾切斯特),Magic Roundabout,United Kingdom
國王路,King's Road,United Kingdom
杜邦圆环,Dupont Circle,United States of America
安大略416號省道,Ontario Highway 416,Canada
托马斯圆环,Thomas Circle,United States of America
崇聖牌樓,Odeon Circle,Thailand
欧洲E88公路,European route E88,Turkey
奧德維奇,Aldwych,United Kingdom
欧洲E4公路,European route E4,Sweden
欧洲E4公路,European route E4,Finland
M50高速公路,M50 motorway,United Kingdom
欧洲E641公路,European route E641,Germany
欧洲E30公路,European route E30,United Kingdom
欧洲E30公路,European route E30,Ireland
欧洲E30公路,European route E30,Netherlands
欧洲E30公路,European route E30,Russia
欧洲E30公路,European route E30,Germany
欧洲E30公路,European route E30,Belarus
295號州際公路,Interstate 295,United States of America
欧洲E30公路,European route E30,Poland
8 Mile路,M-102,United States of America
三角公園 (彰化),Q15913955,Taiwan
阿拉斯加公路,Alaska Highway,Canada
李氏圆环,Lee Circle,United States of America
163号加利福尼亚州州道,California State Route 163,United States of America
62號加利福尼亞州州道,California State Route 62,United States of America
75号加利福尼亚州州道,California State Route 75,United States of America
阿拉斯加公路,Alaska Highway,United States of America
世宗大路,Sejongno,South Korea
繁榮路,Beonyeongno,South Korea
欧洲E84公路,European route E84,Turkey
欧洲E74公路,European route E74,France
欧洲E74公路,European route E74,Italy
125号加利福尼亚州州道,California State Route 125,United States of America
54号加利福尼亚州州道,California State Route 54,United States of America
317国道,China National Highway 317,People's Republic of China
魔術迴旋處 (斯溫頓),Magic Roundabout,United Kingdom
欧洲E011公路,European route E011,Kazakhstan
欧洲E011公路,European route E011,Kyrgyzstan
舒川公州高速公路,Seochon Gongju Expressway,South Korea
欧洲E512公路,European route E512,France
1A省道,British Columbia Highway 1A,Canada
M37公路,M37 highway,Turkmenistan
國道6號,National Highway 6,South Korea
欧洲E16公路,European route E16,United Kingdom
欧洲E402公路,European route E402,France
欧洲E16公路,European route E16,Norway
欧洲E16公路,European route E16,Sweden
唐津盈德高速公路,Dangjin–Yeongdeok Expressway,South Korea
威斯康辛州州道13號,Wisconsin Highway 13,United States of America
欧洲E3公路,European route E03,France
欧洲E53公路,European route E53,Czech Republic
10號內布拉斯加州州道,Nebraska Highway 10,United States of America
國道19號,Japan National Route 19,Japan
國道25號,Japan National Route 25,Japan
新東名高速公路,Shin-Tōmei Expressway,Japan
73号美国国道,U.S. Route 73,United States of America
美国国道49,U.S. Route 49,United States of America
美国国道54,U.S. Route 54,United States of America
美国国道77,U.S. Route 77,United States of America
美国国道80,U.S. Route 80,United States of America
1A國道,National Highway 1,India
國道8號,Japan National Route 8,Japan
東北自動車道,Tōhoku Expressway,Japan
龍仁首爾高速公路,Yongin–Seoul Expressway,South Korea
A2高速公路 (保加利亞),Hemus motorway,Bulgaria
欧洲E121公路,European route E121,Kazakhstan
欧洲E121公路,European route E121,Russia
欧洲E422公路,European route E422,Germany
欧洲E451公路,European route E451,Germany
堅尼地道,Kennedy Road,People's Republic of China
烏山華城高速公路,Osan–Hwaseong Expressway,South Korea
高敞潭陽高速公路,Gochang–Damyang Expressway,South Korea
欧洲E121公路,European route E121,Turkmenistan
十月初五日大馬路,Q9639643,Portugal
