label,riverLabel,countryLabel
卡斯皮昌市,Kaspichan Municipality,Bulgaria
戈代奇市,Godech Municipality,Bulgaria
拉茲格勒市,Razgrad Municipality,Bulgaria
魯恩市,Ruen Municipality,Bulgaria
多布里奇市,Dobrichka Municipality,Bulgaria
科斯泰內茨市,Kostenets Municipality,Bulgaria
加里宁格勒州,Kaliningrad Oblast,Russia
利沃夫州,Lviv Oblast,Ukraine
蘇梅州,Sumy Oblast,Ukraine
斯維倫格勒市,Svilengrad Municipality,Bulgaria
切爾卡瑟州,Cherkasy Oblast,Ukraine
切爾尼戈夫州,Chernihiv Oblast,Ukraine
赫尔松州,Kherson Oblast,Ukraine
茲拉塔里察市,Zlataritsa Municipality,Bulgaria
博伊奇諾夫齊市,Boychinovtsi Municipality,Bulgaria
五一市,Parvomay Municipality,Bulgaria
克雷斯納市,Kresna Municipality,Bulgaria
安東諾沃市,Antonovo Municipality,Bulgaria
阿拉木圖州,Almaty Region,Kazakhstan
瓦爾納,Varna,Bulgaria
托木斯克州,Tomsk Oblast,Russia
鄂木斯克州,Omsk Oblast,Russia
基爾科沃市,Kirkovo Municipality,Bulgaria
洛維奇市,Lovech Municipality,Bulgaria
波爾斯基特倫貝什市,Polski Trambesh Municipality,Bulgaria
采諾沃市,Tsenovo Municipality,Bulgaria
沙布拉市,Shabla Municipality,Bulgaria
特羅揚市,Troyan Municipality,Bulgaria
赫梅利尼茨基州,Khmelnytsky Oblast,Ukraine
埃林佩林市,Elin Pelin Municipality,Bulgaria
馬丹市,Madan Municipality,Bulgaria
内塞伯爾市,Nesebar Municipality,Bulgaria
斯維爾德洛夫斯克州,Sverdlovsk Oblast,Russia
犹太自治州,Jewish Autonomous Oblast,Russia
奧潘市,Opan Municipality,Bulgaria
梅德科韋茨市,Medkovets Municipality,Bulgaria
伊斯克爾市,Iskar Municipality,Bulgaria
德韋莫吉利市,Dve Mogili Municipality,Bulgaria
小特爾諾沃市,Malko Tarnovo Municipality,Bulgaria
新帕扎爾市,Novi Pazar Municipality,Bulgaria
斯米亞多沃市,Smyadovo Municipality,Bulgaria
普里莫爾斯科市,Primorsko Municipality,Bulgaria
特雷克利亞諾市,Treklyano Municipality,Bulgaria
羅多皮市,Rodopi Municipality,Bulgaria
泰特文市,Teteven Municipality,Bulgaria
奧帕卡市,Opaka Municipality,Bulgaria
魯塞市,Ruse Municipality,Bulgaria
尼古拉科茲萊沃市,Nikola Kozlevo Municipality,Bulgaria
巴塔克市,Batak Municipality,Bulgaria
東哈薩克斯坦州,East Kazakhstan Region,Kazakhstan
格拉維尼察市,Glavinitsa Municipality,Bulgaria
別洛沃市,Belovo Municipality,Bulgaria
杜普尼察市,Dupnitsa Municipality,Bulgaria
杜格沃市,Dulovo Municipality,Bulgaria
里拉市,Rila Municipality,Bulgaria
巴爾奇克,Balchik,Bulgaria
克里沃多爾市,Krivodol Municipality,Bulgaria
察雷沃市,Tsarevo Municipality,Bulgaria
斯特魯米亞尼市,Strumyani Municipality,Bulgaria
羅曼市,Roman Municipality,Bulgaria
曼格斯套州,Mangystau Region,Kazakhstan
卡梅諾市,Kameno Municipality,Bulgaria
格爾門市,Garmen Municipality,Bulgaria
图拉州,Tula Oblast,Russia
布良斯克州,Bryansk Oblast,Russia
