label,cityLabel,countryLabel
圣玛窦主教座堂,Cathedral of St. Matthew the Apostle,United States of America
聖雅各伯主教座堂,St. Jakobus,Germany
圣母升天大教堂,Dormition Cathedral,Russia
歐坦主教座堂,Autun Cathedral,France
聖若瑟主教座堂,"Cathedral of St Joseph, Sofia",Bulgaria
圣母加冕主教座堂,Cathedral of St. Mary the Crowned,United Kingdom
斯卡拉主教座堂,Skara Cathedral,Sweden
圣若翰洗者圣殿总主教座堂,St. John's Archcathedral,Poland
聖母無染原罪主教座堂,Saint Nicholas Cathedral,Monaco
什魯斯伯里主教座堂,Shrewsbury Cathedral,United Kingdom
圣母主教座堂,Cathedral of Our Lady,Belgium
巴黎聖母院,Notre Dame de Paris,France
西敏寺,Westminster Abbey,United Kingdom
瑙姆堡大教堂,Naumburg Cathedral,Germany
帕维亚主教座堂,Pavia Cathedral,Italy
杜布羅夫尼克主教座堂,Dubrovnik Cathedral,Croatia
邦芬主教座堂,"Church of Nosso Senhor do Bonfim, Salvador",Brazil
宫廷教堂,Katholische Hofkirche,Germany
波尔多主教座堂,Bordeaux Cathedral,France
梅斯主教座堂,Metz Cathedral,France
圣母主教座堂,Augsburg Cathedral,Germany
尤弗拉西苏斯圣殿,Euphrasian Basilica,Croatia
林肯座堂,Lincoln Cathedral,United Kingdom
圣撒比诺主教座堂,Bari Cathedral,Italy
基督教会座堂,Christ Church Cathedral,Canada
聖味噌爵聖雅各伯主教座堂,Church of St. Vincent,Poland
圣心主教座堂,Sacred Heart Cathedral,New Zealand
圣保禄主教座堂 (圣保罗),"Cathedral of Saint Paul, National Shrine of the Apostle Paul",United States of America
阿拉斯主教座堂,Arras Cathedral,France
圣若望副主教座堂,St. John's Co-Cathedral,Malta
圣老楞佐主教座堂,Cathedral of Saint Lawrence,Switzerland
圣母升天圣殿主教座堂,Cathedral Basilica of St. Mary,Romania
科隆主教座堂,Cologne Cathedral,Germany
锡耶纳主教座堂,Siena Cathedral,Italy
雷根斯堡主教座堂,Regensburg Cathedral,Germany
聖母聖誕主教座堂,Igreja da Sé (Macau),People's Republic of China
水晶大教堂,Crystal Cathedral,United States of America
格倫達洛,Glendalough,Ireland
里伯主教座堂,Ribe Cathedral,Denmark
不萊梅大教堂,Bremen Cathedral,Germany
聖母升天主教座堂,Cathedral of Saint Mary of the Assumption (Chur),Switzerland
聖母主教座堂,Domkirche St. Marien,Germany
斯德望主教座堂,St. Stephen's Cathedral,Austria
圣乔治主教座堂,St. George's Cathedral,Romania
基督堂座堂 (克赖斯特彻奇),"ChristChurch Cathedral, Christchurch",New Zealand
尼斯主教座堂,Nice Cathedral,France
阿讷西主教座堂,Annecy Cathedral,France
锡尔维什主教座堂,Silves Cathedral,Portugal
博德主教座堂,Bodø Cathedral,Norway
斯維特特斯克維利大教堂,Svetitskhoveli Cathedral,Georgia
圣母领报大教堂,Cathedral of the Annunciation,Russia
聖馬格努斯大教堂,St Magnus Cathedral,United Kingdom
圖爾庫主教座堂,Turku Cathedral,Finland
佩奇主教座堂,Pécs Cathedral,Hungary
哈恩主教座堂,Jaén Cathedral,Spain
萨瑟克座堂,Southwark Cathedral,United Kingdom
科尔多瓦主教座堂,Cathedral of Córdoba,Spain
墨西拿主教座堂,Messina Cathedral,Italy
彼得保罗大教堂,Peter and Paul Cathedral,Russia
吉爾福德座堂,Guildford Cathedral,United Kingdom
里彭座堂,Ripon Cathedral,United Kingdom
曼弗雷多尼亚主教座堂,Manfredonia Cathedral,Italy
亚眠主教座堂,Notre-Dame d'Amiens,France
阿尔比主教座堂,Albi Cathedral,France
福贾主教座堂,Foggia Cathedral,Italy
圣巴特里爵主教座堂,St. Patrick's Cathedral,United States of America
聖高隆主教座堂,St Columba's Cathedral,United Kingdom
埃爾福特主教座堂,Erfurt Cathedral,Germany
溫徹斯特座堂,Winchester Cathedral,United Kingdom
亚美尼亚使徒教会利沃夫主教座堂,Armenian Cathedral of Lviv,Ukraine
阿马尔菲主教座堂,Amalfi Cathedral,Italy
圣尼各老主教座堂,Fribourg Cathedral,Switzerland
