label,cityLabel,city
科萊特,Colette,http://www.wikidata.org/entity/Q218679
乔治·奥威尔,George Orwell,http://www.wikidata.org/entity/Q3335
克鲁泡特金,Peter Kropotkin,http://www.wikidata.org/entity/Q5752
安托万·德圣埃克絮佩里,Antoine de Saint-Exupéry,http://www.wikidata.org/entity/Q2908
弗朗索瓦·密特朗,François Mitterrand,http://www.wikidata.org/entity/Q2038
雅洛斯拉夫·哈謝克,Jaroslav Hašek,http://www.wikidata.org/entity/Q2754
雷內·馬格利特,René Magritte,http://www.wikidata.org/entity/Q7836
恩尼·派爾,Ernie Pyle,http://www.wikidata.org/entity/Q38415
戈特霍尔德·埃夫莱姆·莱辛,Gotthold Ephraim Lessing,http://www.wikidata.org/entity/Q34628
戴夫查普爾,Dave Chappelle,http://www.wikidata.org/entity/Q40321
特雷·帕克,Trey Parker,http://www.wikidata.org/entity/Q44414
約瑟夫·戈培爾,Joseph Goebbels,http://www.wikidata.org/entity/Q41749
約翰·史坦貝克,John Steinbeck,http://www.wikidata.org/entity/Q39212
魯德亞德·吉卜林,Rudyard Kipling,http://www.wikidata.org/entity/Q34743
馬塞爾·萊希·拉尼奇,Marcel Reich-Ranicki,http://www.wikidata.org/entity/Q33637
马克西米连·罗伯斯庇尔,Maximilien de Robespierre,http://www.wikidata.org/entity/Q44197
马劳伊·山多尔,Sándor Márai,http://www.wikidata.org/entity/Q36951
维利·勃兰特,Willy Brandt,http://www.wikidata.org/entity/Q2514
亨利·巴比塞,Henri Barbusse,http://www.wikidata.org/entity/Q18404
保罗·杜美,Paul Doumer,http://www.wikidata.org/entity/Q12680
巴尔扎克,Honoré de Balzac,http://www.wikidata.org/entity/Q9711
榮·保羅,Ron Paul,http://www.wikidata.org/entity/Q15257
约翰·肯尼迪,John F. Kennedy,http://www.wikidata.org/entity/Q9696
萨蒂亚吉特·雷伊,Satyajit Ray,http://www.wikidata.org/entity/Q8873
伍迪·艾伦,Woody Allen,http://www.wikidata.org/entity/Q25089
加里·基莫维奇·卡斯帕罗夫,Garry Kasparov,http://www.wikidata.org/entity/Q28614
安·德鲁彦,Ann Druyan,http://www.wikidata.org/entity/Q27167
海因里希·冯·克莱斯特,Heinrich von Kleist,http://www.wikidata.org/entity/Q28494
胡志明,Ho Chi Minh,http://www.wikidata.org/entity/Q36014
格奥尔格·福斯特,Georg Forster,http://www.wikidata.org/entity/Q58062
A·O·斯科特,A. O. Scott,http://www.wikidata.org/entity/Q38351
亨利·菲尔丁,Henry Fielding,http://www.wikidata.org/entity/Q34190
康斯坦丁·西蒙諾夫,Konstantin Simonov,http://www.wikidata.org/entity/Q44695
文斯·麥馬漢,Vince McMahon,http://www.wikidata.org/entity/Q44430
比爾·希克斯,Bill Hicks,http://www.wikidata.org/entity/Q35851
若泽·萨拉马戈,José Saramago,http://www.wikidata.org/entity/Q37060
马特·斯通,Matt Stone,http://www.wikidata.org/entity/Q44410
马特·格勒宁,Matt Groening,http://www.wikidata.org/entity/Q43994
阿道夫·梯也爾,Adolphe Thiers,http://www.wikidata.org/entity/Q5738
「怪人奧爾」揚科維奇,"""Weird Al"" Yankovic",http://www.wikidata.org/entity/Q8349
大仲马,Alexandre Dumas,http://www.wikidata.org/entity/Q38337
埃米尔·左拉,Émile Zola,http://www.wikidata.org/entity/Q504
恩里科·德尼科拉,Enrico De Nicola,http://www.wikidata.org/entity/Q1245
標·馬艾,Bill Maher,http://www.wikidata.org/entity/Q489
費奧多爾·陀思妥耶夫斯基,Fyodor Dostoyevsky,http://www.wikidata.org/entity/Q991
路易吉·伊諾第,Luigi Einaudi,http://www.wikidata.org/entity/Q1242
亨利·福特,Henry Ford,http://www.wikidata.org/entity/Q8768
卡爾·克勞斯,Karl Kraus,http://www.wikidata.org/entity/Q44328
