label,cityLabel,city
乔治·哈里森,George Harrison,http://www.wikidata.org/entity/Q2643
塞內卡,Seneca,http://www.wikidata.org/entity/Q2054
宋高宗,Emperor Gaozong of Song,http://www.wikidata.org/entity/Q7489
隋炀帝,Emperor Yang of Sui,http://www.wikidata.org/entity/Q7419
王尔德,Oscar Wilde,http://www.wikidata.org/entity/Q30875
伏爾泰,Voltaire,http://www.wikidata.org/entity/Q9068
魯迅,Lu Xun,http://www.wikidata.org/entity/Q23114
漢靈帝,Emperor Ling of Han,http://www.wikidata.org/entity/Q7299
司馬遷,Sima Qian,http://www.wikidata.org/entity/Q9372
弗雷迪·默丘里,Freddie Mercury,http://www.wikidata.org/entity/Q15869
武则天,Wu Zetian,http://www.wikidata.org/entity/Q9738
"黃順元,",Hwang Sun-won,http://www.wikidata.org/entity/Q18914
维吉尔,Virgil,http://www.wikidata.org/entity/Q1398
但丁·阿利吉耶里,Dante Alighieri,http://www.wikidata.org/entity/Q1067
埃吉爾·斯卡德拉格里姆松,Egill Skallagrímsson,http://www.wikidata.org/entity/Q314454
维克多·雨果,Victor Hugo,http://www.wikidata.org/entity/Q535
莎孚,Sappho,http://www.wikidata.org/entity/Q17892
让·拉辛,Jean Racine,http://www.wikidata.org/entity/Q742
弗朗切斯科·彼特拉克,Petrarch,http://www.wikidata.org/entity/Q1401
第六世达赖喇嘛,6th Dalai Lama,http://www.wikidata.org/entity/Q25251
皮埃尔·保罗·帕索里尼,Pier Paolo Pasolini,http://www.wikidata.org/entity/Q25120
赫尔曼·黑塞,Hermann Hesse,http://www.wikidata.org/entity/Q25973
伊万·谢尔盖耶维奇·屠格涅夫,Ivan Turgenev,http://www.wikidata.org/entity/Q42831
托马斯·莫尔,Thomas More,http://www.wikidata.org/entity/Q42544
切萨雷·帕韦塞,Cesare Pavese,http://www.wikidata.org/entity/Q2022
宋徽宗,Emperor Huizong of Song,http://www.wikidata.org/entity/Q7486
格拉齊亞·黛萊達,Grazia Deledda,http://www.wikidata.org/entity/Q7728
达格·哈马舍尔德,Dag Hammarskjöld,http://www.wikidata.org/entity/Q1267
乔万尼·薄伽丘,Giovanni Boccaccio,http://www.wikidata.org/entity/Q1402
大衛,David,http://www.wikidata.org/entity/Q41370
马提亚尔,Martial,http://www.wikidata.org/entity/Q2098
莫里哀,Molière,http://www.wikidata.org/entity/Q687
埃拉托斯特尼,Eratosthenes,http://www.wikidata.org/entity/Q43182
威廉·布莱克,William Blake,http://www.wikidata.org/entity/Q41513
海因里希·伯尔,Heinrich Böll,http://www.wikidata.org/entity/Q42747
理查一世,Richard I of England,http://www.wikidata.org/entity/Q42305
费德里戈·加西亚·洛尔卡,Federico García Lorca,http://www.wikidata.org/entity/Q41408
列奥纳多·达·芬奇,Leonardo da Vinci,http://www.wikidata.org/entity/Q762
保尔·魏尔伦,Paul Verlaine,http://www.wikidata.org/entity/Q755
伊凡·参卡尔,Ivan Cankar,http://www.wikidata.org/entity/Q15809
伦纳德·尼莫伊,Leonard Nimoy,http://www.wikidata.org/entity/Q16345
唐玄宗,Emperor Xuanzong of Tang,http://www.wikidata.org/entity/Q9746
沃尔夫拉姆·封·埃申巴赫,Wolfram von Eschenbach,http://www.wikidata.org/entity/Q18821
亚历山达罗·孟佐尼,Alessandro Manzoni,http://www.wikidata.org/entity/Q1064
哈里·穆里施,Harry Mulisch,http://www.wikidata.org/entity/Q927
尼可罗·马基亚维利,Niccolò Machiavelli,http://www.wikidata.org/entity/Q1399
帕蒂·史密斯,Patti Smith,http://www.wikidata.org/entity/Q557
达里奥·福,Dario Fo,http://www.wikidata.org/entity/Q765
路伊吉·皮兰德娄,Luigi Pirandello,http://www.wikidata.org/entity/Q1403
雅克·布雷尔,Jacques Brel,http://www.wikidata.org/entity/Q1666
弗雷德里克·米斯特拉尔,Frédéric Mistral,http://www.wikidata.org/entity/Q42596
漢斯·薩克斯,Hans Sachs,http://www.wikidata.org/entity/Q19543
卡尔·马克思,Karl Marx,http://www.wikidata.org/entity/Q9061
戈麦斯·曼里克,Gómez Manrique,http://www.wikidata.org/entity/Q29284
迈克尔·杰克逊,Michael Jackson,http://www.wikidata.org/entity/Q2831
尼禄,Nero,http://www.wikidata.org/entity/Q1413
與謝蕪村,Yosa Buson,http://www.wikidata.org/entity/Q31523
谢尔盖·亚历山德罗维奇·叶赛宁,Sergei Yesenin,http://www.wikidata.org/entity/Q31628
C·S·路易斯,C. S. Lewis,http://www.wikidata.org/entity/Q9204
伽卢斯,Cornelius Gallus,http://www.wikidata.org/entity/Q8825
鮑希斯·維昂,Boris Vian,http://www.wikidata.org/entity/Q7833
约阿希姆·杜·贝莱,Joachim du Bellay,http://www.wikidata.org/entity/Q18420
雷·布萊伯利,Ray Bradbury,http://www.wikidata.org/entity/Q40640
皮埃尔·高乃依,Pierre Corneille,http://www.wikidata.org/entity/Q747
馬提歐·班德羅,Matteo Bandello,http://www.wikidata.org/entity/Q19054
马娅·安杰卢,Maya Angelou,http://www.wikidata.org/entity/Q19526
托马斯·特兰斯特罗默,Tomas Tranströmer,http://www.wikidata.org/entity/Q42122
維斯拉瓦·辛波絲卡,Wisława Szymborska,http://www.wikidata.org/entity/Q42552
贝尔托·布莱希特,Bertolt Brecht,http://www.wikidata.org/entity/Q38757
杜甫,Du Fu,http://www.wikidata.org/entity/Q33772
吉姆·莫里森,Jim Morrison,http://www.wikidata.org/entity/Q44301
休·赛克斯·戴维斯,Hugh Sykes Davies,http://www.wikidata.org/entity/Q56172
内丁·戈迪默,Nadine Gordimer,http://www.wikidata.org/entity/Q47619
埃德娜·聖文森特·米萊,Edna St. Vincent Millay,http://www.wikidata.org/entity/Q62134
安吉拉·索莫-波登伯格,Angela Sommer-Bodenburg,http://www.wikidata.org/entity/Q63193
威廉·豪夫,Wilhelm Hauff,http://www.wikidata.org/entity/Q57966
季娜依达·吉皮乌斯,Zinaida Gippius,http://www.wikidata.org/entity/Q61940
弗里德里希·黑贝尔,Christian Friedrich Hebbel,http://www.wikidata.org/entity/Q57182
斯特凡·乔治,Stefan George,http://www.wikidata.org/entity/Q57187
比埃尔·德龙沙,Pierre de Ronsard,http://www.wikidata.org/entity/Q49752
狄特里希·埃卡特,Dietrich Eckart,http://www.wikidata.org/entity/Q60259
约翰·彼得·爱克曼,Johann Peter Eckermann,http://www.wikidata.org/entity/Q58018
菲利克斯·丹,Felix Dahn,http://www.wikidata.org/entity/Q61456
貝納多·貝托魯奇,Bernardo Bertolucci,http://www.wikidata.org/entity/Q53009
阿巴斯·奇亞羅斯塔米,Abbas Kiarostami,http://www.wikidata.org/entity/Q55210
阿方索十世,Alfonso X of Castile,http://www.wikidata.org/entity/Q47595
大卫四世,David IV of Georgia,http://www.wikidata.org/entity/Q36760
苏轼,Su Shi,http://www.wikidata.org/entity/Q36020
艾米莉·迪金森,Emily Dickinson,http://www.wikidata.org/entity/Q4441
漢斯·海茲·愛華斯,Hanns Heinz Ewers,http://www.wikidata.org/entity/Q67169
阿格涅·米蓋爾,Agnes Miegel,http://www.wikidata.org/entity/Q67013
安妮·勃朗特,Anne Brontë,http://www.wikidata.org/entity/Q44520
孔德拉季·费奥多洛维奇·雷列耶夫,Kondraty Ryleyev,http://www.wikidata.org/entity/Q49509
尼古拉·利沃夫,Nikolay Lvov,http://www.wikidata.org/entity/Q51131
格哈特·霍普特曼,Gerhart Hauptmann,http://www.wikidata.org/entity/Q43523
欧仁·尤内斯库,Eugène Ionesco,http://www.wikidata.org/entity/Q46706
海因里希·海涅,Heinrich Heine,http://www.wikidata.org/entity/Q44403
瓦爾特·馮·德爾·福格爾魏德,Walther von der Vogelweide,http://www.wikidata.org/entity/Q44385
纪伯伦·哈利勒·纪伯伦,Jalil Gibran,http://www.wikidata.org/entity/Q47737
莫里斯·梅特林克,Maurice Maeterlinck,http://www.wikidata.org/entity/Q49747
让·德·拉封丹,Jean de La Fontaine,http://www.wikidata.org/entity/Q49496
卡爾十五世,Charles XV of Sweden,http://www.wikidata.org/entity/Q52925
奧托五世,"Otto V, Margrave of Brandenburg-Salzwedel",http://www.wikidata.org/entity/Q64721
宮澤賢治,Kenji Miyazawa,http://www.wikidata.org/entity/Q55993
库尔特·图霍夫斯基,Kurt Tucholsky,http://www.wikidata.org/entity/Q57386
強尼斯·瓦倫提諾斯·安德瑞,Johannes Valentinus Andreae,http://www.wikidata.org/entity/Q60854
艾拉·格什溫,Ira Gershwin,http://www.wikidata.org/entity/Q61059
让·费拉,Jean Ferrat,http://www.wikidata.org/entity/Q54885
路德維希·蒂克,Ludwig Tieck,http://www.wikidata.org/entity/Q57239
北野武,Takeshi Kitano,http://www.wikidata.org/entity/Q26372
乔治·奥威尔,George Orwell,http://www.wikidata.org/entity/Q3335
安托万·德圣埃克絮佩里,Antoine de Saint-Exupéry,http://www.wikidata.org/entity/Q2908
威廉九世，阿基坦公爵,"William IX, Duke of Aquitaine",http://www.wikidata.org/entity/Q5351
阿爾諾·達尼埃爾,Arnaut Daniel,http://www.wikidata.org/entity/Q4344
GACKT,Gackt,http://www.wikidata.org/entity/Q44606
伊凡·阿列克谢耶维奇·蒲宁,Ivan Bunin,http://www.wikidata.org/entity/Q46602
埃德加·德加,Edgar Degas,http://www.wikidata.org/entity/Q46373
奥克塔维奥·帕斯,Octavio Paz,http://www.wikidata.org/entity/Q46739
娜塔莉·克利福德·巴尼,Natalie Clifford Barney,http://www.wikidata.org/entity/Q34782
