label,cityLabel
越界驅逐令,Crossing Over
127小时,127 Hours
另一個地球,Another Earth
功夫,Kung Fu Hustle
無人知曉的夏日清晨,Nobody Knows
天使心,Angel Heart
閃舞,Flashdance
倒數第二個男朋友,Good Luck Chuck
當哈利碰上莎莉,When Harry Met Sally
罗拉快跑,Run Lola Run
胡狼来了,Codename: Jackal
葡萄酒的故事,Story of Wine
高地戰,The Front Line
人中之龍 劇場版,Like a Dragon
中天 (電影),The Restless
另一部同志电影,Another Gay Movie
五星級殺人夜,Dinner Rush
自動對焦 (電影),Auto Focus
純情漫畫,"Hello, Schoolgirl"
鬼哭神號,Poltergeist
直到世界末日,Until the End of the World
默默 (1986年電影),Momo
金錢或人生！,Q664883
救女心切,Inhale
無辜者,The Innocents
居里夫人,Madame Curie
蓬門今始為君開,The Quiet Man
魔宮傳奇,Indiana Jones and the Temple of Doom
你行我素,A Life Less Ordinary
天降奇兵,The League of Extraordinary Gentlemen
金福南殺人事件的始末,Bedevilled
浴室春情,Deep End
7月20日 (電影),The Plot to Assassinate Hitler
反轉加拿大,Canadian Bacon
最後的蘇格蘭王,The Last King of Scotland
重见天日,Rescue Dawn
青樓怨婦,Belle de Jour
浴火赤子情,Backdraft
連鎖反應 (1996年電影),Chain Reaction
亂,Ran
極速驚魂,Freeway
復仇 (1958年電影),Vengeance
網上有緣人,Because I Said So
辛辛那提小子,The Cincinnati Kid
超人：鋼鐵英雄,Man of Steel
謊言的誕生,The Invention of Lying
Girl Happy (專輯),Girl Happy
冲浪男人,Chasing Mavericks
女巫獵人,Hansel and Gretel: Witch Hunters
機動警察2 劇場版,Patlabor 2: The Movie
火線赤子情,End of Watch
走進炮火中,71: Into the Fire
危機四伏,What Lies Beneath
探戈與金錢,Tango & Cash
最後的獵人,The Last Trapper
百萬金臂,Bull Durham
湯姆與薇芙,Tom & Viv
跟蹤,Eye in the Sky
大红灯笼高高挂,Raise the Red Lantern
烈火乾柴,Love with the Proper Stranger
轟天戰士決戰明日世紀,Sky Captain and the World of Tomorrow
強盜美眉,High Heels and Low Lifes
戀人絮語,Sad Movie
綁架門前狗,Barking Dogs Never Bite
红猪,Porco Rosso
巴黎末日的探戈,Last Tango in Paris
極地長征,Eight Below
潮爆生仔秘笈,What to Expect When You're Expecting
三女性,3 Women
傾城傾國慾海花,Lola Montès
哥吉拉×美加基拉斯 G消滅作戰,Godzilla vs. Megaguirus
初吻,La Boum
侍女的故事,The Handmaid's Tale
死亡直播,15 Minutes
生死關頭,The Proposition
关于施密特,About Schmidt
只為了好玩 (2003年電影),Just for Kicks
巡弋飛彈,Never Say Never Again
星際大戰五部曲：帝國大反擊,Star Wars Episode V: The Empire Strikes Back
死亡實驗,Das Experiment
舞出真我,Step Up
育婴奇谭,Bringing Up Baby
加州殺手,Kalifornia
大幻影,La Grande Illusion
雙面情人 (電影),Sliding Doors
關鍵危機,Rendition
意亂情迷,Spellbound
神鬼尖兵 (1992年電影),Sneakers
性愛寶典,Everything You Always Wanted to Know About Sex*
王牌大賤諜3,Austin Powers in Goldmember
火女,Woman of Fire
蝙蝠侠与急冻人：冰点危机,Batman & Mr. Freeze: SubZero
再婚驚魂記,Audition
戰略高手,Out of Sight
杀死汝爱,Kill Your Darlings
特務行不行,Get Smart
纳粹追凶,Apt Pupil
臨門湊一腳,Due Date
阎将军的苦茶,The Bitter Tea of General Yen
愛德華二世,Edward II
禍水 (電影),Water
鸽之翼,The Wings of the Dove
來自天上的聲音,The Apostle
化妝師 (電影),The Dresser
孕轉六人行,Friends with Kids
山丘戰魂,The Hill
我要做警察,Observe and Report
水中的女人,Lady in the Water
红衫泪痕,Jezebel
歐洲特快車,Europa
一九八四,1984
布里斯營,When Tomorrow Comes
邊境家園,Home
學校怪談,Gakkō no Kaidan
發條橘子,A Clockwork Orange
特写,Close-Up
小路之歌,Pather Panchali
情慾克林姆,Klimt
初雪之戀,Virgin Snow
聖誕快樂又瘋狂,The Santa Clause
火拼時速3,Rush Hour 3
親親壞姐妹,Marvin's Room
唐山大兄,The Big Boss
27宜嫁,A Dirty Carnival
全球金屬,Global Metal
別跟陌生人說話,Never Talk to Strangers
劇場版美少女戰士SuperS,Sailor Moon Super S: The Movie
我的老婆是大佬3,My Wife Is a Gangster 3
納粹集中營 (電影),The Grey Zone
被解放的迪亚戈,Django Unchained
8月32日,August 32nd on Earth
六絃武士,Six-String Samurai
霹靂十傑,Disciples of the 36th Chamber
魔幻奇緣,Death Defying Acts
巨人,Giant
黑天鹅,Black Swan
破綻,Fracture
黑色星期五,Black Friday
無敵者,A Better Tomorrow
暗黑街的顏役,Scarface
潮女私房菜,Pieces of April
烽火霸王,Taras Bulba
蕩婦卡門,Carmen
毛泽东时代的最后舞者,Mao's Last Dancer
殺客同萌,Sucker Punch
壮志奔腾,Seabiscuit
星際大戰二部曲：複製人全面進攻,Star Wars Episode II: Attack of the Clones
肥皂拼盤,Soapdish
辛普森一家大电影,The Simpsons Movie
幽情密使,The Go-Between
密阳,Secret Sunshine
愛的肢解,Tell Me Something
星際歪傳,Spaceballs
空前绝后满天飞,Airplane!
自由之日：我们的国防军,Tag der Freiheit: Unsere Wehrmacht
街角凶宅,House at the End of the Street
頭號劊子手,The Last Hangman
早餐俱樂部,The Breakfast Club
清風明月,Sword in the Moon
謎城殺機,The Truth About Charlie
瀟灑有情天,Boys on the Side
哈努森,Hanussen
快樂小小姐,Happy-Go-Lucky
拉帕努伊,Rapa-Nui
權力喜劇,Comedy of Power
與魔鬼共騎,Ride with the Devil
賓漢,Ben-Hur
帝國玫瑰,Jodhaa Akbar
納瓦隆第十突擊隊,Force 10 from Navarone
粉色水仙,Pink Narcissus
魔鬼任務 (1991年電影),F/X2
伴我走天涯2,Hearty Paws 2
千年鶴,Beyond the Years
搖滾七十年代,Go Go 70s
狗狗心事,All About My Dog
瑪拉帕瓜之牆,The Walls of Malapaga
白雪公主与猎人,Snow White and the Huntsman
黑暗之地 (2006年電影),In a Dark Place
舞影人生,Esther Kahn
伯尔尼的奇迹,The Miracle of Bern
希望之旅,Journey of Hope
勇士們,We Were Soldiers
喜宴,The Wedding Banquet
時光機器,The Time Machine
綠寶石,Romancing the Stone
律政俏佳人,Legally Blonde
恍惚,Trance
野獸冒險樂園,Where the Wild Things Are
極速酷客,Torque
極限：殘殺煉獄,Martyrs
现实,Reality
雙面女蠍星,Point of No Return
大地震,Earthquake
加勒比海盜 神鬼奇航：幽靈海,Pirates of the Caribbean: On Stranger Tides
險路勿近,No Country for Old Men
候選人 (1972年電影),The Candidate
總統之死,Death of a President
嬰靈,Godsend
尤里西斯生命之旅,Ulysses' Gaze
第六感,The Sixth Sense
殺戮時刻,A Time to Kill
品行不良,Conduct Zero
天外魔蛛,Arachnid
憂鬱青春日記,Prozac Nation
假面骑士 THE FIRST,Kamen Rider: The First
逃獄三王,"O Brother, Where Art Thou?"
少林三十六房,The 36th Chamber of Shaolin
色計,Anthony Zimmer
劇場前,Tale of Cinema
女人是男人的未來,Woman Is the Future of Man
貓咪少女,Take Care of My Cat
豬掉到井裡的那天,The Day a Pig Fell into the Well
天堂之日,Days of Heaven
絕命尬車2,Death Race 2
奇幻逆緣,The Curious Case of Benjamin Button
歡迎來到東京上空,Q501190
夜霧殺機,The Fog
天下壯士麥當娜,Like a Virgin
魚影之群,The Catch
巴黎人,Yogi Bear
絕命追殺令之就地正法,U.S. Marshals
春风不化雨,The Prime of Miss Jean Brodie
印地安納瓊斯：水晶骷髏王國,Indiana Jones and the Kingdom of the Crystal Skull
激情 (電影),Passion
莎翁情史,Shakespeare in Love
葉問,Ip Man
作大英雄,Wag the Dog
哭泣游戏,The Crying Game
地球再發育,Evolution
瘋狂列車,Silver Streak
玫瑰花床,Bed of Roses
狗神 INUGAMI（2001年）,Q668694
金粉世界,Gigi
出神入化,Now You See Me
人魚公主的愛情魔法,Aquamarine
麥田捕手的女孩,The Good Girl
壁花少年,The Perks of Being a Wallflower
聖女之歌 (1943年電影),The Song of Bernadette
拿命線索,Murder by Numbers
自由之路 (2010年電影),The Way Back
選美俏臥底2姿整任務,Miss Congeniality 2: Armed and Fabulous
飢餓遊戲2：星火燎原,The Hunger Games: Catching Fire
魯本，魯本,"Reuben, Reuben"
太空运输,Cargo
南部軍,Nambugun
夢精記2,Wet Dreams 2
卡美拉對大惡獸基龍,Gamera vs. Guiron
撫養亞利桑那,Raising Arizona
舊愛，還是最美,Flashbacks of a Fool
西西里的美丽传说,Malèna
咪走堂,Ferris Bueller's Day Off
士兵的父親,Father of a Soldier
阿達vs醫生誰怕誰,The Couch Trip
偽能叛變,Surrogates
黑道比酷,Be Cool
在大學路賣春的女高生被碎屍後還在大學路,Teenage Hooker Becomes a Killing Machine
我們人生中最棒的瞬間,Forever the Moment
愛情的證明,Kuch Kuch Hota Hai
痴情恨,Beloved Infidel
寂寞芳心 (電影),The Lonely Passion of Judith Hearne
摩洛哥,Morocco
那時候的人們,The President's Last Bang
伊莉莎白,Elizabeth
太平洋劇作家節,Harlem Nights
雛菊,Daisy
刺蝟與女王,My Queen Karo
危機倒數,The Hurt Locker
新鐵金剛之量子殺機,Quantum of Solace
星際大戰六部曲：絕地大反攻,Star Wars Episode VI: Return of the Jedi
牛頭悲歌,Bullhead
现代启示录,Apocalypse Now
十诫,The Ten Commandments
我倆沒有明天,Bonnie and Clyde
海角驚魂,Cape Fear
费城故事,The Philadelphia Story
银河追缉令,Galaxy Quest
末代啟示錄,Nostradamus
凡尔杜先生,Monsieur Verdoux
哈里·布朗,Harry Brown
我的初戀情人,I Give My First Love to You
沉默生機,Don't Say a Word
辣手神探,Hard Boiled
驚天動地60秒,Gone in 60 Seconds
蒙娜麗莎 (電影),Mona Lisa
致命陷阱,Deadfall
凸槌俏女警,She's on Duty
孖展風雲,Margin Call
早安 (1959年電影),Good Morning
黄山伐,Once Upon a Time in a Battlefield
V字特攻隊,Vampires
BALLAD 無名戀歌,Ballad
年輕的丈夫們,Young Husbands
獵犬 (電影),Hounddog
奪命鎗火,Running Scared
活死人之夜,Night of the Living Dead
愛情唔上身,Down with Love
又是誰搞的鬼,I'll Always Know What You Did Last Summer
忍者刺客,Ninja Assassin
浪漫鬼屋,Ghost House
火車怪客,Strangers on a Train
愈快乐愈堕落,Hold You Tight
電視台風雲,Network
拜見岳父大人,Meet the Parents
歡情太暫,Crimes and Misdemeanors
牢獄 (電影),Prison
喧譁的寂寞,Private Fears in Public Places
韓半島,Hanbando
爱在暹逻,The Love of Siam
犯罪的都市,The Front Page
女孩們的晚餐,Girls' Night Out
最佳故事,Those Magnificent Men in their Flying Machines
太空牛仔,Space Cowboys
王牌大賤諜1,Austin Powers: International Man of Mystery
超急情聖,Don Jon
異次元駭客,The Thirteenth Floor
銀杏床,The Legend of Gingko
海狼突擊隊,The Sea Wolves
頭彩冤家,What Happens in Vegas
黃飛鴻之二：男兒當自強,Once Upon a Time in China II
黑欲天堂,Black Heaven
毛骨悚然,Jeepers Creepers
碧血長天 (1980年電影),The Final Countdown
財神當家,Richie Rich
五雷轟頂,Thunderstruck
橋 (電影),Die Brücke
職業特工隊2,Mission: Impossible II
女煞葛洛莉,Gloria
電子世界爭霸戰,Tron
凡塵聖女,Johanna
步步登天,All the Right Moves
限時絕殺,Faster
戀搞好朋友,Friends with Benefits
將計就計,Entrapment
破天慌,The Happening
千金情,Pumpkin
夺命深渊,Sanctum
蒼白騎士 (1985年電影),Pale Rider
天使不流淚,The Stone Angel
魔法電波,Blast from the Past
強捕,Nowhere to Hide
攔截時空禁區,Logan's Run
戰爭遊戲 (1983年電影),WarGames
淒艷斷腸花,The Paradine Case
做頭,Hands in the Hair
他們！,Them!
夏夜狂舞,Jhoom Barabar Jhoom
恐怖斷魂屋,Session 9
古老的庭院,The Old Garden
圍城13天：阿拉莫戰役,The Alamo
婚姻生活,Bed and Board
相思光年,Love Phobia
約翰與瑪莉,John and Mary
黑帮暴徒,Tsotsi
怒火之花,The Grapes of Wrath
反恐特警组,S.W.A.T.
夏日爵士,Jazz on a Summer's Day
奪魂鋸3D,Saw 3D
法國香頌Di Da Di,Same Old Song
第六感生死緣,Meet Joe Black
迷幻人生,Light Sleeper
七龍珠Z 超戰士,Dragon Ball Z: Broly – Second Coming
愛情大臨演,Just Go with It
公主新娘,The Princess Bride
美國小子 (1986年電影),Lucas
空戰英豪,Flyboys
非常教師,Dangerous Minds
生死邊緣,Green Fish
藍色情人節,Blue Valentine
黃昏之戀,Love in the Afternoon
酒佬日記,Sideways
下一個就是你,Urban Legend
A級控訴,Ararat
追擊赤色十月,The Hunt for Red October
致命的吸引力,Fatal Attraction
凡夫俗子,Ordinary People
一個美國人在巴黎,An American in Paris
深喉嚨,Deep Throat
撒旦的情與慾,Antichrist
愛情大災難,Love and Other Disasters
反敗為勝,Necessary Roughness
撕裂的末日,Equilibrium
舞孃俱樂部,Burlesque
福音戰士新劇場版：Q,Evangelion: 3.33 You Can (Not) Redo
危險年代,The Year of Living Dangerously
如何是好,How to Be
白头神探2½：恐怖的气味,The Naked Gun 2½: The Smell of Fear
鑽石宮,Westworld
魔鬼一族,Shallow Grave
神鬼莫測,Reindeer Games
人骨拼图,The Bone Collector
史酷比2：怪兽偷跑,Scooby-Doo 2: Monsters Unleashed
戀愛雞尾酒,Punch-Drunk Love
神經大帝,The Madness of King George
聖誕來搗蛋,Santa's Slay
無悔今生,My Left Foot
傻瓜 (韓國電影),BABO
威尼斯商人,The Merchant of Venice
一去不回的海兵,The Marines Who Never Returned
我和我的女友,My Girl and I
特警冤家,Two Cops
那小子真帥 (電影),He Was Cool
靈 (電影),Dead Friend
索拉力星 (2002年電影),Solaris
坏孩子的天空,Kids Return
拉贝日记,John Rabe
惡街實況,Street Smart
决斗犹马镇,3:10 to Yuma
偷香,Stealing Beauty
字典情人,The Sleeping Dictionary
姜哲中-公共之敵1-1,Public Enemy Returns
妖夜尋狼：血姬覺醒,Underworld: Awakening
星际旅行IX：起义,Star Trek: Insurrection
繪圖師的合約,The Draughtsman's Contract
你丫闭嘴！,Tais-toi !
灌籃大帝,Semi-Pro
你整我，我整你,Trading Places
星期五,Friday
蜘蛛人3,Spider-Man 3
復仇者聯盟,The Avengers
冒牌老爸,Big Daddy
安德烈·鲁布廖夫 (电影),Andrei Rublev
小精靈2,Gremlins 2: The New Batch
綠卡,Green Card
LIS太空號,Lost in Space
椿三十郎,Sanjuro
画壁,Mural
帕納大師的魔幻冒險,The Imaginarium of Doctor Parnassus
福音戰士新劇場版：序,Evangelion: 1.0 You Are (Not) Alone
粉紅豹2,The Return of the Pink Panther
蠟筆小新：動感超人大戰泳裝魔王,Crayon Shin-chan: Action Kamen vs Leotard Devil
憤怒 (1978年電影),The Fury
潛逃時空,In Time
白色戰爭,White Badge
銀色獵物,Sliver
耶穌,Jesus
夜行人,The Nightcomers
Nowhere (電影),Nowhere
夢想奔馳,Dreamer
超級王牌,Maverick
吸菸/不吸菸,Smoking/No Smoking
無懈可擊,Arlington Road
見鬼,The Eye
海邊的女人,Woman on the Beach
芭芭拉·拉什,Rollerball
猛鬼寬頻,Pulse
教父之祖,Lucky Luciano
八又二分一女人,8½ Women
活人生吃,Dawn of the Dead
迁徙的鸟,Winged Migration
下流人生,Low Life
異旅情絲,Silk
辣手神探勇闖天羅地網,The Gauntlet
心火,Heartburn
謊言之軀,Body of Lies
時刻 (電影),8 Seconds
無事生非 (1994年電影),Clerks
逍遥骑士,Easy Rider
變裝大師,The Master of Disguise
与梦露的一周,My Week with Marilyn
U-571,U-571
无处的男孩,Nowhere Boy
終極標靶,Hard Target
鬼玩人,Evil Dead II
復仇威龍,Get Carter
國王人馬,All the King's Men
特務間諜,Salt
愛上草食男,Greenberg
芳心之歌,Grace of My Heart
舞台生涯,Limelight
谍海风云,Shanghai
密室禁臠,Michael
二八佳人花公子,Arthur
直擊要害,Collateral Damage
五星級謀殺,Bobby
绿区,Green Zone
寡婦春情,The Rose Tattoo
亲密治疗,The Sessions
大車隊,Convoy
爱是妥协,Something's Gotta Give
渾身是勁 (1984年電影),Footloose
大審判 (電影),The Verdict
藥命效應,Limitless
綁票追緝令,Ransom
夜魔俠,Daredevil
名侦探柯南：沉默的15分钟,Detective Conan: Quarter of Silence
拉客者,The Barker
永恆之歌 (電影),The Song Remains the Same
遊戲規則,The Rules of the Game
好萊塢結局,Hollywood Ending
廣東十虎與後五虎,Ten Tigers from Kwangtung
浪子戀,Moment by Moment
漢堡高地,Hamburger Hill
最毒婦人心 (1964年電影),"Hush… Hush, Sweet Charlotte"
死亡感應,Danika
殺手怨曲,Little Odessa
辣妹過招,Mean Girls
鬼差,The Messengers
海綿寶寶 - 海神王皇冠,The SpongeBob SquarePants Movie
死亡客機,Flight of the Living Dead: Outbreak on a Plane
女傭變鳳凰,Maid in Manhattan
歡迎到塞拉耶佛,Welcome to Sarajevo
罪惡金錢,Mo' Money
處女之泉,The Virgin Spring
天生杀人狂,Natural Born Killers
債與命,Life and Debt
她恨我,She Hate Me
感官世界,In the Realm of the Senses
神鬼尖兵,The Boondock Saints
革命往事,"Duck, You Sucker!"
不可能的任務：鬼影行動,Mission: Impossible – Ghost Protocol
地獄魔咒,Drag Me to Hell
诱惑假期,Love in Thoughts
末日狂城,Death Line
真情假愛,Intolerable Cruelty
致命罗密欧,Romeo Must Die
黄飞鸿之铁鸡斗蜈蚣,Last Hero in China
愛在冰雪紛飛時,Snow Falling on Cedars
暗星,Dark Star
霍元甲,Fearless
追憶似水年華,Time Regained
完美风暴,The Perfect Storm
瑪歌皇后,La Reine Margot
納若維河之戰 (電影),Battle of Neretva
鏡子面具,MirrorMask
重金搖滾男的奇異旅程,This Must Be the Place
乒乓特派員,Balls of Fury
大河戀,A River Runs Through It
殺手不眨眼2,The Whole Ten Yards
安培逊大族,The Magnificent Ambersons
摩斯拉對哥吉拉,Mothra vs. Godzilla
第六日,The 6th Day
風流才子,The Libertine
無聲火,Bangkok Dangerous
浮生若舞,The Company
男孩我最壞,Superbad
野良犬,Stray Dog
鐵達尼號,Titanic
黑貓之眼,Your Vice Is a Locked Room and Only I Have the Key
記得我,Remember Me
冷血悍將,Ronin
少爺返鄉,Nicholas Nickleby
毀滅戰士 (電影),Doom
真愛無盡,Tuck Everlasting
致命武器II,Lethal Weapon 2
警察 (1985年電影),Police
農民太空人,The Astronaut Farmer
黑幕謎情,Eastern Promises
機密邂逅,The Tourist
克麗絲汀魅力,Christine
美麗蹺佳人,Sweet Home Alabama
洛基恐怖秀,The Rocky Horror Picture Show
絕命聖誕夜,Black Christmas
塵霧家園,House of Sand and Fog
脫線沖天炮,Bottle Rocket
太空戰士,Final Fantasy: The Spirits Within
情事,L'Avventura
鍋匠 裁縫 士兵 間諜,Tinker Tailor Soldier Spy
漂亮的小白臉，可憐的小白臉,Just a Gigolo
掃蕩三人組,The Mod Squad
亡命快劫,The Taking of Pelham One Two Three
千禧曼波,Millennium Mambo
珍奧斯汀少女日記,Becoming Jane
宇宙大戰爭,Battle in Outer Space
重返奧茲國 (1985年電影),Return to Oz
情迷六月花,Henry & June
香閨驚魂,Midnight Lace
公诉拉里·弗兰特,The People vs. Larry Flynt
猛鬼街大結局,Freddy's Dead: The Final Nightmare
英雄本色III夕陽之歌,A Better Tomorrow 3
致命武器3,Lethal Weapon 3
鳳凰號,Flight of the Phoenix
黑魔王,Legend
情色陷阱 (1998年電影),Palmetto
戇豆先生,Bean
單挑 (電影),He Got Game
白雪公主之魔镜魔镜,Mirror Mirror
傻愛成真 (1997年電影),Fools Rush In
以黑死之名,Black Death
騎士出任務,Knight and Day
哭泣的玫瑰,Selena
開運兔,Hop
傻瓜大闹科学城,Sleeper
午夜驚情,Sea of Love
獨自站立,I Stand Alone
恐怖蠟像館,House of Wax
這就是英格蘭,This Is England
再見女郎,The Goodbye Girl
宮廷秘史,Nicholas and Alexandra
將愛放逐,The Banishment
时空罪恶,Los Cronocrímenes
朱尔与吉姆,Jules and Jim
月光和華倫天奴,Moonlight and Valentino
圖班嫁給我,Tulpan
星际旅行VI：未来之城,Star Trek VI: The Undiscovered Country
蓋世五俠的秘密,Secrets of the Furious Five
谜一样的双眼,The Secret in Their Eyes
賭神,God of Gamblers
追擊巨怪,Trollhunter
哥吉拉×摩斯拉×機械哥吉拉 東京SOS,Godzilla: Tokyo S.O.S.
情人與騙子,Lovers and Liars
波普先生的企鹅,Mr. Popper's Penguins
BJ單身日記,Bridget Jones's Diary
大雄的恐龍2006,Doraemon: Nobita's Dinosaur 2006
巴黎心 楓葉情,Emotional Arithmetic
惡女上身,Swimfan
終極奇兵,The 13th Warrior
驚異狂想曲,The City of Lost Children
Loups-Garous 应避开的狼,Loups=Garous
妖夜尋狼前傳之狼神誕生,Underworld: Rise of the Lycans
爆女大格鬥,Scott Pilgrim vs. the Wo
慾海花,Looking for Mr. Goodbar
年輕的維多利亞,The Young Victoria
愛火燎原,The Burning Plain
气壮山河,Cavalcade
華麗年代,Nine
我家也有貝多芬,Beethoven
猶在鏡中,Through a Glass Darkly
鋼木蘭,Steel Magnolias
鬼鈴,Phone
燕尾服,The Tuxedo
双面玛莎,Martha Marcy May Marlene
女王與叛徒,For Queen and Country
愛妳給他死,All the Boys Love Mandy Lane
好妻子,My Favorite Wife
最终命令 -最终幻想VII-,Last Order: Final Fantasy VII
這些女人們,All These Women
十三罗汉,Ocean's Thirteen
嬌娃萬里追,Outrageous Fortune
驚聲尖笑3,Scary Movie 3
捕鼠記,MouseHunt
那個年代,Radio Days
勇敢兄弟,Taxi 4
Moscow on the Hudson,Moscow on the Hudson
少女特攻隊,D.E.B.S.
凶兆 (2006年電影),The Omen
狗吃狗,Dog Eat Dog
夢幻成真,Field of Dreams
摯愛關係 (2005年電影),Loverboy
擦鞋童 (電影),Shoeshine
不惜一切,To Die For
老公出差,The Out-of-Towners
七寶奇謀 (電影),The Goonies
爱,Amour
妮諾奇嘉,Ninotchka
女狼俱樂部 (2000年電影),Coyote Ugly
古靈精怪瑪德琳,Madeline
危險小天使,The Good Son
人心,Of Human Hearts
烙印 (1975年電影),The Man in the Glass Booth
神奇寶貝劇場版：裂空的訪問者 代歐奇希斯,Pokémon: Destiny Deoxys
致命突擊隊,The Devil's Own
逍遙法外,Eye for an Eye
劇場版美少女戰士R,Sailor Moon R: The Movie
猛鬼街VII,Wes Craven's New Nightmare
血染的季節,A Dry White Season
80分鐘死亡直播,REC
性書狂人,Quills
金童子,The Golden Child
大卫·戈尔的一生,The Life of David Gale
007：皇家赌场,Casino Royale
龙卷风,Twister
野蠻公主,Wild Child
恐怖社區,Disturbia
爸爸失蹤時,Tehilim
寶貝媽媽,Baby Mama
魔幻羅盤,The Golden Compass
鬼鈴聲,One Missed Call
铁窗喋血,Cool Hand Luke
王牌罪犯,Ordinary Decent Criminal
菲爾·傑克森,Following
少年福爾摩斯 (1985年電影),Young Sherlock Holmes
捕蠅紙 (電影),Flypaper
別闖陰陽界,Flatliners
P.S. 我愛你,P.S. I Love You
神童布鲁诺,Bruno
美國LOL：我的愛情我的夢,LOL
殉情記,Romeo and Juliet
殺手,The Killing
地球很美有賴你,Home
木兰花,Magnolia
我的酷兒婚禮,Queens
激情叛侶,Original Sin
新·大雄與鐵人兵團,Doraemon: Nobita and the New Steel Troops—Winged Angels
遁天神盜 2,Dhoom 2
殺與捕,The Edge
致命的快感,The Quick and the Dead
火光,Firelight
七龍珠 最強之道,Dragon Ball: The Path to Power
三大怪獸 地球最大決戰,"Ghidorah, the Three-Headed Monster"
上帝的使者穆罕默德,"Mohammad, Messenger of God"
愛上新郎,The Wedding Planner
皇室风流史,A Royal Affair
終極土匪,Bandits
終極復仇者2,Ultimate Avengers 2
七磅,Seven Pounds
原野豪傑,The Rare Breed
浮生若夢,You Can't Take It With You
真愛無疆,Flicka
蠟筆小新：不理不理王國的秘寶,Crayon Shin-chan: The Secret Treasure of Buri Buri Kingdom
再見國王 (1989年電影),Farewell to the King
刁手怪招,Master with Cracked Fingers
同性三分親,Torch Song Trilogy
死者 (電影),The Dead
狄俄尼索斯在69年,Dionysus in '69
血眼,Frontier(s)
戀戀風暴,She's So Lovely
外星人報到,My Favorite Martian
丑闻笔记,Notes on a Scandal
炮彈飛車,The Cannonball Run
獨領風潮,Take the Lead
絕地戰將,On Deadly Ground
法外出擊 (1991年電影),Out for Justice
生死格斗,DOA: Dead or Alive
約會電影,Date Movie
黑色命令,Dark Command
吸血鬼猎人林肯,Abraham Lincoln: Vampire Hunter
情慾2重奏,The Last Mistress
愛我就搭火車,Those Who Love Me Can Take the Train
生死決斷,Bloody Tie
電影 Yes! 光之美少女5 鏡之國的奇蹟大冒險!,Yes! Pretty Cure 5
资本主义：一个爱情故事,Capitalism: A Love Story
開往印度之船,A Ship Bound for India
小泳者,The Little Bather
碧海藍天,The Big Blue
驚爆萬惡城,Edge of Darkness
冒險王,"Dr. Wai in ""The Scripture with No Words"""
卡彭,Capone
天地玄黄,Baraka
熟男型不型,"Crazy, Stupid, Love."
红色警探,Red Heat
關於愛,About Love
今生有約,Forever Young
风云际会,Willow
以怒攻怒,Anger Management
侠探杰克,Jack Reacher
冰上公主 (2005年電影),Ice Princess
俄羅斯大廈,The Russia House
全面追捕令 (1976年電影),The Enforcer
基奧真奴,Giorgino
我的19歲,The Bachelor
死囚168小时,Dead Man Walking
目標大作戰,Brass Target
絕命帶原者,Carriers
深海长眠,The Sea Inside
關於斯蒂夫的一切,All About Steve
黑荊棘 (電影),Blackthorn
雙生兄弟,Dead Ringers
天使 (1937年電影),Angel
錦繡天堂 (1954年電影),Brigadoon
愛麗絲(電影),Alice
乞力馬扎羅山的雪,The Snows of Kilimanjaro
家有惡夫,Ruthless People
粉身碎骨,Vanishing Point
不可撤消,Irréversible
六壯士（電影）,The Guns of Navarone
大西洋城 (電影),Atlantic City
失落的大地,"Atlantis, the Lost Continent"
尼羅河寶石,The Jewel of the Nile
夜晚和白天,Night and Day
超脫末日,Last Days
璦樓飛燕,The Unsinkable Molly Brown
黑白遊龍,White Men Can't Jump
萬王之王：耶穌傳,King of Kings
被告,The Accused
美味不設防,No Reservations
諜網迷魂,The Manchurian Candidate
大行善者,Sivaji
天堂可以等待,Heaven Can Wait
戲中之王,The Greatest Show on Earth
超人III,Superman III
情人劫,Valentine
环游世界八十天 (1956年电影),Around the World in 80 Days
上天下地大追擊,Smokey and the Bandit
連環扣,Lantana
猛鬼1000,House of 1000 Corpses
慕雪德,Mouchette
昨日、今日、明日,"Yesterday, Today and Tomorrow"
爱疯了,Like Crazy
龍虎鐵金剛,The Mechanic
變形邪魔,Invasion of the Body Snatchers
金髮維納斯,Blonde Venus
驚險之旅 (1993年電影),Arctic Blue
冤家鬥一番,You Again
千機變,The Twins Effect
小猪进城,Babe: Pig in the City
射野之王,Orgazmo
笑看人心,I Heart Huckabees
魔鬼報復者,Liberty Stands Still
寻求庇护,Take Shelter
柔道龍虎榜,Throw Down
小烏龜佛蘭克林,Franklin and the Turtle Lake Treasure
搖滾狂人,Wild Zero
極限戰士,"Ultramarines: A Warhammer 40,000 Movie"
胡洛特先生的假期,Les Vacances de Monsieur Hulot
魔鬼女大兵,G.I. Jane
魔法保姆麥菲,Nanny McPhee
名不虛傳 (1950年電影),The Magnificent Yankee
奔向墨西哥,Eddie Macon's Run
失貞記,Losin' It
搖擺情事 (2004年電影),De-Lovely
西部英雄约拿·哈克斯,Jonah Hex
公主日記2：皇家婚約,The Princess Diaries 2: Royal Engagement
美國舞男,American Gigolo
重金屬兩千,Heavy Metal 2000
午夜城堡搶救行動,Rescue at Midnight Castle
海洋,Oceans
秘密花園,The Secret Garden
Cape Fear (1962年電影),Cape Fear
午夜凶鈴,Ring
一世之雄,Angels with Dirty Faces
上海异人娼馆,Fruits of Passion
北非海岸,Barbary Coast
