label,cityLabel,countryLabel
西吉斯蒙德圆柱,Sigismund's Column,Poland
绊脚石,Stolpersteine,Hungary
俾斯麦塔,"Bismarck Tower, Zielona Góra",Poland
聖馬丁門,Porte Saint-Martin,France
大秦景教流行中国碑,Nestorian Stele,People's Republic of China
卡济米耶清真寺,Al-Kadhimiya Mosque,Iraq
加莱里乌斯拱门,Arch of Galerius and Rotunda,Greece
枋橋建學碑,Q18896780,Taiwan
速檀歪思汗麻扎,Q2364732,People's Republic of China
范奈斯陵,Van Ness Mausoleum,United States of America
伊玛目侯赛因圣陵,Imam Husayn Shrine,Iraq
駐韓聯合國軍法國營廣場,Place du Bataillon-Français-de-l'ONU-en-Corée,France
小泰姬陵,Tomb of I'timād-ud-Daulah,India
戰神門,Porte Mars,France
勃兰登堡门,Brandenburg Gate,Germany
象和方尖碑,Elephant and Obelisk,Italy
布宜诺斯艾利斯方尖碑,Obelisco de Buenos Aires,Argentina
馬德羅丹,Madurodam,Netherlands
蒙地奇托利歐方尖碑,Obelisk of Montecitorio,Italy
水師提督門,Admiralty Arch,United Kingdom
KV3,KV3,Egypt
旺多姆圆柱,Colonne Vendôme,France
QV44,QV44,Egypt
皇家墓穴,Imperial Crypt,Austria
鄭崇和墓,Q15927742,Taiwan
舍爾沙陵,Tomb of Sher Shah Suri,India
貝登堡墓,Baden-Powell grave,Kenya
伊玛目礼萨圣陵,Imam Reza shrine,Iran
格兰特将军国家纪念堂,Grant's Tomb,United States of America
耶孙墓,Jason's Tomb,Israel
成吉思汗馬術雕像,Genghis Khan Equestrian Statue,Mongolia
費禕墓,Q21018230,People's Republic of China
清西陵,Western Qing Tombs,People's Republic of China
辽陵,Q15136747,People's Republic of China
偽教宗約翰二十三世墳墓,Tomb of Antipope John XXIII,Italy
初宁陵,Chuning Tomb,People's Republic of China
毛主席纪念堂,Mausoleum of Mao Zedong,People's Republic of China
千壽陵,Tomb of Gia Long,Vietnam
汉茂陵,Maoling,People's Republic of China
祖國母親雕像,Mother Motherland,Ukraine
陈寅恪墓,Tomb of Chen Yinke,People's Republic of China
思陵,Q10788196,Vietnam
卡赞勒克的色雷斯人墓,Thracian Tomb of Kazanlak,Bulgaria
玉陵,Tamaudun,Japan
明献陵,Xianling,People's Republic of China
明德陵,Q11087864,People's Republic of China
李时珍墓,Q11096765,People's Republic of China
徐光启墓,tomb of Xu Guangqi,People's Republic of China
KV2,KV2,Egypt
工人和集体农庄女庄员,Worker and Kolkhoz Woman,Russia
漢義陵,Q17032762,People's Republic of China
陶比奧古墓,Talpiot Tomb,Israel
牛久大佛,Ushiku Daibutsu,Japan
陶比奧古墓,Talpiot Tomb,Palestinian territories
巨石阵,Stonehenge,United Kingdom
主体思想塔,Juche Tower,North Korea
漢平陵,Q17039137,People's Republic of China
卡苏比王陵,Kasubi Tombs,Uganda
漢安陵,Q17032673,People's Republic of China
自由女神像,Statue of Liberty,United States of America
中苏友谊纪念塔,Q174672,People's Republic of China
不萊梅的羅蘭像,Bremen Roland,Germany
林肯墓,Lincoln Tomb,United States of America
克拉庫斯丘,Krakus Mound,Poland
明泰陵,Tailing,People's Republic of China
阿曼尼莎汗陵,Amannisa Khan Mausoleum,People's Republic of China
林秀俊墓,Q11106757,Taiwan
王祖母許太夫人墓,Tomb of Grandmother Madam Wang Hsu,Taiwan
李自成墓,Q11097856,People's Republic of China
