label,cityLabel
愛麗絲鏡中奇遇,Through the Looking-Glass
两种文化,The Two Cultures
中國農民調查,Will the Boat Sink the Water
道德譜系學,On the Genealogy of Morality
窄門,Strait is the Gate
作为意志和表象的世界,The World as Will and Representation
宇宙盡頭的餐廳,The Restaurant at the End of the Universe
自由選擇,Free to Choose
超级魔鬼经济学,SuperFreakonomics
百年孤独,One Hundred Years of Solitude
战争与回忆,War and Remembrance
兒子與情人,Sons and Lovers
荒原,The Waste Land
资本论,Das Kapital
兔子四部曲,"Rabbit, Run"
云图,Cloud Atlas
沙丘系列小說,Dune
蘇菲的世界,Sophie's World
騎士蒂朗：少女陰謀,Tirant lo Blanch
城堡,The Castle
完美的間諜,A Perfect Spy
耶穌的真實王朝,The Jesus Dynasty
魔龙的狂舞,A Dance with Dragons
毛主席语录,The Little Red Book
怀疑派化学家,The Sceptical Chymist
勇者側影,Profiles in Courage
東京闇鴉,Tokyo Ravens
穿越歷史的魁地奇,Quidditch Through the Ages
延安日记,"The Vladimirov diaries: Yenan, China, 1942-1945"
數位密碼,Digital Fortress
模板:卡夫卡沉思,Unmasking a Confidence Trickster
資治通鑑,Zizhi Tongjian
菲力帕斯篇,Philebus
編年史,Annals
論基督徒的自由,On the Freedom of a Christian
新生活版英文翻譯本聖經,New Living Translation
哈利·波特与阿兹卡班囚徒,Harry Potter and the Prisoner of Azkaban
失樂園,Paradise Lost
政治学,Politics
从地球到月球,From the Earth to the Moon
咆哮山莊,Wuthering Heights
愛瑪,Emma
清秀佳人,Anne of Green Gables
小王子,The Little Prince
三國演義,Romance of the Three Kingdoms
骗局,Deception Point
女巫之槌,Malleus Maleficarum
毛澤東：鮮為人知的故事,Mao: The Unknown Story
震撼世界的十天,Ten Days that Shook the World
劫夢驚魂,Dreamcatcher
加速世界,Accel World
最近，妹妹的樣子有點怪？,"Saikin, Imōto no Yōsu ga Chotto Okaishiin Da Ga."
霍斯陆和席琳,Khosrow and Shirin
3001太空漫遊,3001: The Final Odyssey
惡魔的發明,Facing the Flag
愤怒的葡萄,The Grapes of Wrath
玉子市場,Tamako Market
十五少年漂流記,Two Years' Vacation
娑摩吠陀,Samaveda
法蘭西組曲,Suite française
南總里見八犬傳,Nansō Satomi Hakkenden
格雷的五十道陰影,Fifty Shades of Gray
潛水鐘與蝴蝶,The Diving Bell and the Butterfly
慢人,Slow Man
十国春秋,Spring and Autumn of the Ten States
泰芮絲的寂愛人生,Thérèse Desqueyroux
中午的黑暗,Darkness at Noon
水手服與機關槍,Sailor Suit and Machine Gun
人皆有一死,All Men Are Mortal
