label,cityLabel,countryLabel
奥斯陆加勒穆恩机场,Oslo Airport,Norway
塞維亞,San Pablo Airport,Spain
恩吉利國際機場,N'djili Airport,Democratic Republic of the Congo
都柏林机场,Dublin Airport,Ireland
甲米機場,Krabi Airport,Thailand
瓦爾納,Varna Airport,Bulgaria
明斯特奥斯纳布吕克国际机场,Münster Osnabrück International Airport,Germany
乔治·贝斯特贝尔法斯特城市机场,George Best Belfast City Airport,United Kingdom
伦敦希思罗机场,Heathrow Airport,United Kingdom
倫敦城市機場,London City Airport,United Kingdom
马赛普罗旺斯机场,Marseille Provence Airport,France
格拉斯哥国际机场,Glasgow Airport,United Kingdom
贝尔法斯特国际机场,Belfast International Airport,United Kingdom
里茲/布拉福,Leeds Bradford International Airport,United Kingdom
高雄國際機場,Kaohsiung International Airport,Taiwan
莱比锡/哈雷机场,Leipzig/Halle Airport,Germany
阿利坎特,Alicante Airport,Spain
布里斯托機場,Bristol Airport,United Kingdom
Bourke機場,Bourke Airport,Australia
克利夫機場,Cleve Airport,Australia
多寶市支線機場,Dubbo City Airport,Australia
庫伯佩地機場,Coober Pedy Airport,Australia
德尼利昆機場,Deniliquin Airport,Australia
德文港機場,Devonport Airport,Australia
格倫因尼斯機場,Glen Innes Airport,Australia
科夫斯港機場,Coffs Harbour Airport,Australia
福布斯機場,Forbes Airport,Australia
葛瑞菲斯機場,Griffith Airport,Australia
阿米代爾機場,Armidale Airport,Australia
弗林德斯島機場,Flinders Island Airport,Australia
麥克默里堡國際機場,Fort McMurray International Airport,Canada
普里斯提納國際機場,Pristina International Airport Adem Jashari,Kosovo
巴塞尔－米卢斯－弗赖堡欧洲机场,EuroAirport Basel-Mulhouse-Freiburg,France
柏林勃兰登堡机场,Berlin Brandenburg Airport,Germany
兰伯特－圣路易斯国际机场,Lambert–St. Louis International Airport,United States of America
匹兹堡国际机场,Pittsburgh International Airport,United States of America
特拉帕尼機場,Vincenzo Florio Airport Trapani-Birgi,Italy
柏林-泰格尔奥托·利林塔尔机场,Berlin Tegel Airport,Germany
蒂瓦特機場,Tivat Airport,Montenegro
坎培拉國際機場,Canberra International Airport,Australia
紐卡索機場,Newcastle Airport,Australia
達爾文國際機場,Darwin International Airport,Australia
北伊柳塞拉機場,North Eleuthera Airport,The Bahamas
馬拉博機場,Malabo International Airport,Equatorial Guinea
百慕達國際機場,L.F. Wade International Airport,United Kingdom
洛杉磯國際機場,Los Angeles International Airport,United States of America
赛义德·易卜拉欣王子国际机场,Prince Said Ibrahim International Airport,Comoros
阿瓦薩機場,Awasa Airport,Ethiopia
Arroyo Barril機場,Arroyo Barril Airport,Dominican Republic
日内瓦国际机场,Geneva International Airport,Switzerland
普羅維登西亞萊斯國際機場,Providenciales International Airport,Turks and Caicos Islands
巴黎－奥利机场,Orly Airport,France
努瓦迪布国际机场,Nouadhibou International Airport,Mauritania
啟德機場,Kai Tak Airport,People's Republic of China
达拉斯－沃思堡国际机场,Dallas/Fort Worth International Airport,United States of America
古瓦哈提,Lokpriya Gopinath Bordoloi International Airport,India
鹿特丹海牙机场,Rotterdam The Hague Airport,Netherlands
斯德哥爾摩－斯卡夫司塔機場,Stockholm Skavsta Airport,Sweden
麥爾茲堡,Southwest Florida International Airport,United States of America
蘇黎世機場,Zurich Airport,Switzerland
馬奇機場,Mudgee Airport,Australia
班加罗尔国际机场,Kempegowda International Airport,India
贾特拉帕蒂·希瓦吉国际机场,Chhatrapati Shivaji International Airport,India
布達佩斯李斯特·費倫茨國際機場,Budapest Ferenc Liszt International Airport,Hungary
吉贊支線機場,Jizan Regional Airport,Saudi Arabia
沙馬林達國際機場,Samarinda International Airport,Indonesia
达尼丁国际机场,Dunedin International Airport,New Zealand
東密德蘭機場,East Midlands Airport,United Kingdom
布瓊布拉國際機場,Bujumbura International Airport,Burundi
塔伊夫,Ta’if Regional Airport,Saudi Arabia
下地島機場,Shimojishima Airport,Japan
聖維森特,São Pedro Airport,Cape Verde
马瑙斯－爱德华多·戈梅斯国际机场,Eduardo Gomes International Airport,Brazil
埃农泰基厄机场,Enontekiö Airport,Finland
安塔利亚机场,Antalya International Airport,Turkey
特内里费南部机场,Tenerife South Airport,Spain
托澤爾-內夫塔國際機場,Tozeur–Nefta International Airport,Tunisia
伏努科沃國際機場,Vnukovo International Airport,Russia
阿博伊索機場,Aboisso Airport,Ivory Coast
霍齐亚·库塔科国际机场,Windhoek Hosea Kutako International Airport,Namibia
波隆納機場,Bologna Guglielmo Marconi Airport,Italy
纳辛贝·埃亚德马国际机场,Lomé-Tokoin Airport,Togo
Ibiza（IBZ）,Ibiza Airport,Spain
日惹國際機場,Adisucipto International Airport,Indonesia
望加錫國際機場,Sultan Hasanuddin International Airport,Indonesia
霍尼亞拉國際機場,Honiara International Airport,Solomon Islands
三亚凤凰国际机场,Sanya Phoenix International Airport,People's Republic of China
埃塞萨皮斯塔里尼部长国际机场,Ministro Pistarini International Airport,Argentina
成都双流国际机场,Chengdu Shuangliu International Airport,People's Republic of China
焦夫省國內機場,Al-Jawf Domestic Airport,Saudi Arabia
奥斯汀－伯格斯特国际机场,Austin-Bergstrom International Airport,United States of America
努美阿國際機場,La Tontouta International Airport,France
拉吉夫·甘地国际机场,Rajiv Gandhi International Airport,India
埃森博阿国际机场,Esenboğa International Airport,Turkey
埃德蒙顿国际机场,Edmonton International Airport,Canada
开普敦国际机场,Cape Town International Airport,South Africa
英迪拉·甘地国际机场,Indira Gandhi International Airport,India
哈密尔顿国际机场,Hamilton International Airport,New Zealand
卡諾市,Mallam Aminu Kano International Airport,Nigeria
兰萨罗特机场,Lanzarote Airport,Spain
孟菲斯国际机场,Memphis International Airport,United States of America
朱利叶斯·尼雷尔国际机场,Julius Nyerere International Airport,Tanzania
郑州新郑国际机场,Zhengzhou Xinzheng International Airport,People's Republic of China
西雅圖－塔科馬國際機場,Seattle–Tacoma International Airport,United States of America
圣保罗/瓜鲁柳斯－安德烈·弗朗哥·蒙托罗州长国际机场,São Paulo-Guarulhos International Airport,Brazil
西爾維奧·佩蒂羅西國際機場,Silvio Pettirossi International Airport,Paraguay
丹吉爾,Tangier Ibn Battouta Airport,Morocco
安特衛普國際機場,Antwerp International Airport,Belgium
那不勒斯國際機場,Naples International Airport,Italy
朱安达国际机场,Juanda International Airport,Indonesia
奈季蘭國內機場,Najran Domestic Airport,Saudi Arabia
金奈国际机场,Chennai International Airport,India
伊瓦洛机场,Ivalo Airport,Finland
伊洛伊洛國際機場,Iloilo International Airport,Philippines
特里凡得琅国际机场,Trivandrum International Airport,India
馬爾多納多港,Padre Aldamiz International Airport,Peru
斯潘達勒姆空軍基地,Spangdahlem Air Base,Germany
斯波坎国际机场,Spokane International Airport,United States of America
諾克少,Nouakchott–Oumtounsy International Airport,Mauritania
納沙斯瓦哥,Narsarsuaq Airport,Greenland
聖安東尼奧國際機場,San Antonio International Airport,United States of America
南特,Nantes Atlantique Airport,France
巴里巴板,Sultan Aji Muhammad Sulaiman Airport,Indonesia
多倫多皮爾遜國際機場,Toronto Pearson International Airport,Canada
法扎巴德機場,Fayzabad Airport,Afghanistan
加里薩機場,Garissa Airport,Kenya
描戈律錫萊國際機場,Bacolod-Silay International Airport,Philippines
布加勒斯特奥托佩尼－亨利·科安德国际机场,Henri Coandă International Airport,Romania
路易斯·穆尼奥斯·马林国际机场,Luis Muñoz Marín International Airport,United States of America
尼斯蓝色海岸机场,Nice Côte d'Azur Airport,France
連尼治機場,Linate Airport,Italy
洛格羅尼奧,Logroño-Agoncillo Airport,Spain
中部國際機場,Chubu Centrair International Airport,Japan
新奥尔良路易斯阿姆斯特朗国际机场,Louis Armstrong New Orleans International Airport,United States of America
纽伦堡机场,Nuremberg Airport,Germany
伊茲密爾,Adnan Menderes Airport,Turkey
马拉喀什－迈纳拉国际机场,Marrakesh Menara Airport,Morocco
Clayton J. Lloyd國際機場,Clayton J. Lloyd International Airport,United Kingdom
曼齊尼機場,Matsapha Airport,Swaziland
德布勒森國際機場,Debrecen International Airport,Hungary
Comandante Gustavo Kraemer機場,Comandante Gustavo Kraemer Airport,Brazil
阿達納,Adana Şakirpaşa Airport,Turkey
柏林-滕珀尔霍夫机场,Berlin Tempelhof Airport,Germany
柏林-舍讷费尔德机场,Berlin Schönefeld Airport,Germany
富埃特文图拉机场,Fuerteventura Airport,Spain
威尼斯－泰塞拉机场,Venice Marco Polo Airport,Italy
三投斯將軍國際機場,General Santos International Airport,Philippines
艾卜哈地區機場,Abha Regional Airport,Saudi Arabia
雅典海蘭尼孔國際機場,Ellinikon International Airport,Greece
古尔代盖国际机场,Hurghada International Airport,Egypt
香港國際機場,Hong Kong International Airport,People's Republic of China
法赫德国王国际机场,King Fahd International Airport,Saudi Arabia
塔曼拉塞特,Aguenar–Hadj Bey Akhamok Airport,Algeria
赫尔辛基－万塔机场,Helsinki Airport,Finland
大西洋城國際機場,Atlantic City International Airport,United States of America
堪薩斯城國際機場,Kansas City International Airport,United States of America
杰克逊维尔国际机场,Jacksonville International Airport,United States of America
麦卡伦国际机场,McCarran International Airport,United States of America
伯明翰－沙特尔斯沃思国际机场,Birmingham-Shuttlesworth International Airport,United States of America
阿爾伯克基國際機場,Albuquerque International Sunport,United States of America
蘇比克灣國際機場,Subic Bay International Airport,Philippines
纽卡斯尔机场,Newcastle Airport,United Kingdom
橙縣,John Wayne Airport,United States of America
明尼阿波利斯－圣保罗国际机场,Minneapolis–Saint Paul International Airport,United States of America
巴哈國內機場,Al-Baha Domestic Airport,Saudi Arabia
鳳凰城天港國際機場,Phoenix Sky Harbor International Airport,United States of America
悉尼机场,Sydney Airport,Australia
奥利弗·坦博国际机场,OR Tambo International Airport,South Africa
沙卡國王國際機場,King Shaka International Airport,South Africa
斯德哥爾摩－阿蘭達機場,Stockholm Arlanda Airport,Sweden
Dalaman（DLM）,Dalaman Airport,Turkey
頓涅茨克國際機場,Donetsk International Airport,Ukraine
迪克森機場,Dikson Airport,Russia
哈茨菲尔德－杰克逊亚特兰大国际机场,Hartsfield–Jackson Atlanta International Airport,United States of America
奥黑尔国际机场,O'Hare International Airport,United States of America
努美阿馬真塔機場,Nouméa Magenta Airport,France
歐文·羅伯茨國際機場,Owen Roberts International Airport,United Kingdom
臺北松山機場,Taipei Songshan Airport,Taiwan
塔巴國際機場,Taba International Airport,Egypt
錫永機場,Sion Airport,Switzerland
薩拉戈薩機場,Zaragoza Airport,Spain
