label,cityLabel,countryLabel
隼級飛彈快艇,Hauk-class patrol boat,Norway
多倫多火箭,Toronto Rocket,Canada
符腾堡号战列舰,SMS Württemberg,German Empire
黑鱸號潛水艇 (SS-215),USS Growler,United States of America
海豚號(AGSS-555),USS Dolphin,United States of America
D型电动列车,Q1977111,Russia
R級潛艦 (美國),United States R-class submarine,United States of America
蘇聯S-363號潛艇,Soviet submarine S-363,Sweden
長征一號運載火箭,Long March 1,People's Republic of China
青函連絡船紀念館八甲田丸,Hakkoda-maru Memorial Ship,Japan
快舟小型运载火箭,Kuaizhou,People's Republic of China
TEM3型柴油机车,Soviet Railways ТЭМ3,Russia
掃羅級潛艇,Sauro-class submarine,Afghanistan
Niantic捕鯨船,Niantic,United States of America
WU-14高超音速飞行器,WU-14,People's Republic of China
馬修 (船),Matthew,United Kingdom
珍寶旅舍,Jumbohostel,Sweden
海岸防衛隊機動救生艇CG 36500,Coast Guard Motor Lifeboat CG 36500,United States of America
因弗考尔德号,Invercauld,New Zealand
拉克尼斯號油輪翻覆事故,MV Rocknes,Germany
火星2号,Mars 2,Soviet Union
Do 24水上偵察機,Dornier Do 24,Germany
A-12侦察机,Lockheed A-12,United States of America
SS大不列顛,SS Great Britain,United Kingdom
Me 410戰鬥機,Messerschmitt Me 410,Germany
美国海军亚利桑那号战列舰纪念馆,USS Arizona Memorial,United States of America
飛行者三號,Wright Flyer III,United States of America
企業號太空梭,Enterprise,United States of America
和谐5B型内燃机车,China Railways HXN5B,People's Republic of China
勝利號戰艦,HMS Victory,United Kingdom
美居號 (1806年),French brig Mercure,Italy
Fram號,Fram,Norway
He 219戰鬥機,Heinkel He 219,Germany
格拉玛号,Granma,Cuba
發現號太空梭,Discovery,United States of America
美国现役军机列表,United States Armed Forces active aircraft fleet,United States of America
Spektr-R,Spektr-R,Russia
新罕布夏號風帆戰列艦,USS New Hampshire (1864),United States of America
三角洲號維修艦,USS Delta,United States of America
Me 323運輸機,Messerschmitt Me 323,Germany
侯斯頓號輕巡洋艦 (CL-81),USS Houston,United States of America
皇家鳶尾花號渡輪,MV Royal Iris,United Kingdom
U-2501 (納粹德國潛艇),German submarine U-2501,Nazi Germany
鸚鵡螺號核動力潛艇,USS Nautilus,United States of America
Ju 87俯衝轟炸機,Junkers Ju 87,Germany
歼敌号,INS Arihant,India
SU-122,SU-122,Soviet Union
P-38閃電式戰鬥機,P-38 Lightning,United States of America
深圳地铁南车浦镇B型电动列车,Q26262010,People's Republic of China
費城號炮艇,USS Philadelphia,United States of America
帕奈號貨船,USS Midway,United States of America
珠江三角洲地区城际轨道交通,Pearl River Delta Rapid Transit,People's Republic of China
伊號第五百一潛艦,German submarine U-181,Nazi Germany
艾里達曼號核潛艇,INS Aridhaman,India
玛丽玫瑰号,Mary Rose,United Kingdom
玛丽玫瑰号,Mary Rose,Kingdom of England
無敵號戰鬥巡洋艦,HMS Invincible,United Kingdom of Great Britain and Ireland
U-2偵察機,Lockheed U-2,United States of America
不列顛尼亞號,HMY Britannia,United Kingdom
复兴号电力动车组,China Standardized EMU,People's Republic of China
双桅横帆船朝圣者,Pilgrim,United States of America
布洛姆-福斯 BV 138,Blohm & Voss BV 138,Germany
憲法號帆船護衛艦,USS Constitution,United States of America
Do 217轟炸機,Dornier Do 217,Germany
Me 262戰鬥機,Messerschmitt Me 262,Germany
KV-13坦克,KV-13,Soviet Union
圖-204,Tupolev Tu-204,Russia
埃爾金維多利亞大酒店,Grand Victoria Casino Elgin,United States of America
X-7试验机,Lockheed X-7,United States of America
海鱺號潛艇,USS Cobia,United States of America
圖-204,Tupolev Tu-204,Soviet Union
ZSU-23-4防空坦克,ZSU-23-4 Shilka,East Germany
F-86軍刀戰鬥機,F-86 Sabre,Canada
加拿大最著名軍艦 HMCS Haida (G63),HMCS Haida,Canada
U-47潛艇,German submarine U-47,Germany
ED6型电力动车组,Q14641034,Russia
哥德堡号,Götheborg,Sweden
海獅號潛艇,USS Cutlass,United States of America
梭魚號潛艇 (SS-163),USS Barracuda,United States of America
伊麗絲號縱帆船,Iris,United States of America
Do 335戰鬥機,Dornier Do 335,Germany
Fw 200偵察機,Focke-Wulf Fw 200,Germany
城际列车,Intercity,Germany
Fw 189偵察機,Focke-Wulf Fw 189,Germany
橘花攻擊機,Nakajima Kikka,Empire of Japan
保時捷917,Porsche 917,France
廣域紅外線巡天探測衛星,Wide-field Infrared Survey Explorer,United States of America
奧克拉荷馬市號輕巡洋艦,USS Oklahoma City,United States of America
上海公交71路,Q28416182,People's Republic of China
宗谷號巡視船,Sōya,Japan
天琴计划,TianQin,People's Republic of China
U-2502 (納粹德國潛艇),U 2502,Nazi Germany
ZSU-57-2防空坦克,ZSU-57-2,East Germany
武汉地铁DKZ8型电动车组,Q11124531,People's Republic of China
美國軍用飛機列表,United States military aircraft fleet,United States of America
He 111轟炸機,He 111,Germany
Ju 88轟炸機,Junkers Ju 88,Germany
鱸魚號(SSG-577),USS Growler,United States of America
联合打击战斗机计划,Joint Strike Fighter program,United States of America
M3/M5斯圖亞特坦克,M3 Stuart,United States of America
K1主戰坦克,K1 88-Tank,South Korea
茲林Z 142,Zlín Z-142,Czechoslovakia
斐利亞,Phileas (public transport),Netherlands
立體快巴,Transit Elevated Bus,People's Republic of China
