label,cityLabel,countryLabel
麻浦大橋,Mapo Bridge,South Korea
歐康納橋,O'Connell Bridge,Ireland
沃克斯豪爾橋,Vauxhall Bridge,United Kingdom
馬灣高架道路,Ma Wan Viaduct,People's Republic of China
永東大橋,Yeongdong Bridge,South Korea
蠶室大橋,Jamsil Bridge,South Korea
金浦大橋,Gimpo Bridge,South Korea
接吻桥,Potseluev Bridge,Russia
徐浦大桥,Xupu Bridge,People's Republic of China
斯瓦特普魯克·切赫橋,Svatopluk Čech Bridge,Czech Republic
托莱多桥,Bridge of Toledo,Spain
努斯萊橋,Nusle Bridge,Czech Republic
瑪西亞水道,Aqua Marcia,Italy
汲水門大橋,Kap Shui Mun Bridge,People's Republic of China
甘比橋,Cambie Bridge,Canada
歌手桥,Pevchesky Bridge,Russia
Dudley B. Menzies大橋,Dudley B. Menzies Bridge,Canada
德爾文大道橋,Derwent Way Bridge,Canada
尤勒斯·韦登博斯大桥,Jules Wijdenbosch Bridge,Suriname
马岭河大桥,Malinghe River Bridge,People's Republic of China
斯堪桑德大桥,Skarnsund Bridge,Norway
卡叟曼橋州立公園,Casselman Bridge,United States of America
临江鸭绿江大桥,Linjiang Yalu River Bridge,People's Republic of China
大主教橋,Pont de l'Archevêché,France
韩家沱长江大桥,Hanjiatuo Bridge,People's Republic of China
海口世纪大桥,Haikou Century Bridge,People's Republic of China
海印大橋,Haiyin Bridge,People's Republic of China
海珠橋,Haizhu Bridge,People's Republic of China
程阳永济桥,Chengyang Bridge,People's Republic of China
润扬长江大桥,Runyang Bridge,People's Republic of China
特奥多尔·豪斯大桥,Theodor Heuss Bridge,Germany
天津特大桥,Tianjin Grand Bridge,People's Republic of China
威廉姆斯大桥,Willemsbrug,Netherlands
塔霍河三桥,Q901283,Portugal
道伊澤爾橋,Deutz Suspension Bridge,Germany
下游桥,Pont aval,France
肖恩·奧凱西橋,Seán O'Casey Bridge,Ireland
科佩那姆橋,Coppename Bridge,Suriname
杭州湾跨海大桥,Hangzhou Bay Bridge,People's Republic of China
佐治街和登斯梅街高架橋,Georgia Viaduct,Canada
上海长江隧桥,Shanghai Yangtze River Tunnel and Bridge,People's Republic of China
阿拉米略桥,Puente del Alamillo,Spain
富勒橋,Fullers Bridge,Australia
花園城市高架橋,Garden City Skyway,Canada
杨浦大桥,Yangpu Bridge,People's Republic of China
蘇伊士運河大橋,Suez Canal Bridge,Egypt
皮尔斯将军桥,General Pierce Bridge,United States of America
芙蓉江大桥,Furongjiang River Bridge,People's Republic of China
聖十字橋,Świętokrzyski Bridge,Poland
拉玛九世大桥,Rama IX Bridge,Thailand
天空之橋,Skybridge,Canada
橫濱海灣大橋,Yokohama Bay Bridge,Japan
南浦大桥,Nanpu Bridge,People's Republic of China
贝斯卡大桥,Beška Bridge,Serbia
帕特尼橋,Putney Bridge,United Kingdom
费斯蒂纳兰特桥,Festina lente,Bosnia and Herzegovina
古月桥,Guyue Bridge,People's Republic of China
东神户大桥,Higashi Kobe Bridge,Japan
霍克斯伯里河铁路桥,Hawkesbury River Railway Bridge,Australia
果子沟大桥,Guozigoui Bridge,People's Republic of China
鹤洞大桥,Hedong Bridge,People's Republic of China
昂船洲大橋,Stonecutters Bridge,People's Republic of China
華士古達伽馬大橋,Vasco da Gama Bridge,Portugal
仁川大桥,Incheon Bridge,South Korea
诺曼底大桥,Pont de Normandie,France
亨格福德橋和五十週年紀念橋,Hungerford Bridge and Golden Jubilee Bridges,United Kingdom
州際大橋,Interstate Bridge,United States of America
公园大道桥,Park Avenue Bridge,United States of America
多多羅大橋,Tatara Bridge,Japan
霍桑大桥,Hawthorne Bridge,United States of America
弗拉尼奥·图季曼大桥,Franjo Tuđman Bridge,Croatia
阿力克斯·菲沙橋,Alex Fraser Bridge,Canada
海门大桥,Q11151398,People's Republic of China
瀨戶大橋,Great Seto Bridge,Japan
Snelbinder,Snelbinder,Netherlands
Köhlbrandbrücke,Köhlbrand Bridge,Germany
斯特伦松德大桥,Strömsund Bridge,Sweden
鄭皇橋,Taksin Bridge,Thailand
荆岳长江公路大桥,Jingyue Bridge,People's Republic of China
阿尔玛桥,pont de l'Alma,France
米約高架橋,Millau Viaduct,France
涪陵烏江大橋,Fuling Arch Bridge,People's Republic of China
涪陵长江大桥,Fuling Yangtze River Bridge,People's Republic of China
叹息桥,Bridge of Sighs,United Kingdom
海洋公園道路大橋,Marine Parkway-Gil Hodges Memorial Bridge,United States of America
金塘大桥,Jintang Bridge,People's Republic of China
伦敦桥,London Bridge,United Kingdom
汀九橋,Ting Kau Bridge,People's Republic of China
圣詹姆斯桥,St. James's Bridge,Slovenia
奇西克桥,Chiswick Bridge,United Kingdom
海格兰德大桥,Helgeland Bridge,Norway
南京长江三桥,Third Nanjing Yangtze Bridge,People's Republic of China
切萨皮克湾隧桥,Chesapeake Bay Bridge-Tunnel,United States of America
外环江津长江大桥,Guanyinyan Bridge,People's Republic of China
广州大桥,Guangzhou Bridge,People's Republic of China
苏通长江公路大桥,Sutong Bridge,People's Republic of China
金角湾大桥,Zolotoy Bridge,Russia
伊洛瓦兹大桥,Pont de l'Iroise,France
長青橋,Cheung Tsing Bridge,People's Republic of China
圣纳泽尔大桥,Saint-Nazaire Bridge,France
巫山长江大桥,Wushan Yangtze River Bridge,People's Republic of China
芜湖长江大桥,Wuhu Yangtze River Bridge,People's Republic of China
苏尔古特大桥,Surgut Bridge,Russia
拉弗蘭科尼橋,Lafranconi Bridge,Slovakia
科希丘什科大橋,Kosciuszko Bridge,United States of America
圖們江大橋,Tumen River Bridge,North Korea
圖們江大橋,Tumen River Bridge,People's Republic of China
長壽長江大橋,Changshou Bridge,People's Republic of China
安杰利纳河大桥,Angelina River Bridge,United States of America
安庆长江大桥,Anqing Bridge,People's Republic of China
李家沱长江大桥,Lijiatuo Bridge,People's Republic of China
青森大橋,Aomori Bay Bridge,Japan
萬代橋,Bandai Bridge,Japan
查尔斯·迪恩大桥,Charles W. Dean Bridge,United States of America
小亚瑟·罗芙奥大桥,Arthur Ravenel Jr. Bridge,United States of America
李渡长江大桥,Lidu Bridge,People's Republic of China
鴨脷洲大橋,Ap Lei Chau Bridge,People's Republic of China
釜山港大桥,Busan Harbor Bridge,South Korea
金穗大橋,Golden Ears Bridge,Canada
芹苴大桥,Cần Thơ Bridge,Vietnam
芬蘭鐵路橋,Finland Railway Bridge,Russia
國王輪渡橋,Kingsferry Bridge,United Kingdom
闵浦大桥,Minpu Bridge,People's Republic of China
伊丽莎白二世女王大桥,Queen Elizabeth II Bridge,United Kingdom
三节桥,Tripartite Bridge,Russia
緬街隧道,Main Street Tunnel,Canada
俄罗斯岛大桥,Russky Bridge,Russia
堪恰纳披色大桥,Kanchanaphisek Bridge,Thailand
内格罗河大桥,Manaus Iranduba Bridge,Brazil
europa bridge,Danube Bridge 2,Bulgaria
乌德瓦拉大桥,Uddevalla Bridge,Sweden
europa bridge,Danube Bridge 2,Romania
達特福德跨河道路,Dartford Crossing,United Kingdom
槟威大桥,Penang Bridge,Malaysia
切萨皮克城大桥,Chesapeake City Bridge,United States of America
蠶室鐵橋,Jamsil Railway Bridge,South Korea
厄勒海峽大橋,Øresund Bridge,Denmark
拉斐尔·乌达内塔将军大桥,General Rafael Urdaneta Bridge,Venezuela
厄勒海峽大橋,Øresund Bridge,Sweden
卡洛頓高架橋,Carrollton Viaduct,United States of America
集安鸭绿江国境铁路大桥,Ji'an Yalu River Border Railway Bridge,People's Republic of China
美洲大桥,Bridge of the Americas,Panama
腊八斤大桥,Labajin Bridge,People's Republic of China
佩列沙茨大桥,Pelješac Bridge,Croatia
维迭萨伽尔大桥,Vidyasagar Setu,India
台北大橋,Taipei Bridge,Taiwan
莫农加希拉城大桥,Monongahela City Bridge,United States of America
西灣大橋,Sai Van Bridge,People's Republic of China
科羅爾－巴貝圖阿普大橋,Koror–Babeldaob Bridge,Palau
雅克·加布里埃尔桥,Q2103623,France
莫尼旺大桥,Monivong Bridge,Cambodia
寮肚橋,Liu To Bridge,People's Republic of China
东海大桥,Donghai Bridge,People's Republic of China
天草五橋,Five Bridges of Amakusa,Japan
涪陵乌江二桥,Fuling Wujiang Bridge,People's Republic of China
鄂东长江大桥,Edong Bridge,People's Republic of China
里翁-安提里翁大桥,Rio–Antirrio bridge,Greece
中桥 (比萨),Q3397718,Italy
拉佩芭大桥,La Pepa Bridge,Spain
蘇丹伊斯邁懸索橋,Kuala Krai Bridge,Malaysia
奧克蘭 (紐西蘭),Grafton Bridge,New Zealand
龍津石橋,Lung Tsun Stone Bridge,People's Republic of China
大古力橋,Grand Coulee Bridge,United States of America
格林 L. 杰克逊纪念大桥,Glenn L. Jackson Memorial Bridge,United States of America
格林威尔大桥,Greenville Bridge,United States of America
三国桥,Three Countries Bridge,Germany
九江大橋,Q10878919,People's Republic of China
云桂桥,Q10881238,People's Republic of China
佛山东平大桥,Q10886727,People's Republic of China
北京环线特大桥,Q10902357,People's Republic of China
阳光高架桥,Sunshine Skyway Bridge,United States of America
丽泽桥 (桂林),Q10877607,People's Republic of China
信义桥 (桂林),Q10887939,People's Republic of China
北安桥,Q10902773,People's Republic of China
华辰大桥,Q10905959,People's Republic of China
南疆公路大桥,Q10908746,People's Republic of China
嘉金公路黄浦江大桥,Q10924208,People's Republic of China
格林尼克橋,Glienicke Bridge,Germany
便母橋,Bin Mo Bridge,People's Republic of China
伊丽莎白桥,Elisabeth Bridge,Hungary
嘉绍大桥,Jiaxing-Shaoxing Sea Bridge,People's Republic of China
藍水大橋,Blue Water Bridge,United States of America
白斋桥,Bai Chay Bridge,Vietnam
萨拉戈萨桥,Bridge Pavilion,Spain
伯靈頓灣詹姆斯·N·艾倫高架橋,Burlington Bay James N. Allan Skyway,Canada
柔佛河大桥,Sungai Johor Bridge,Malaysia
故事桥,Story Bridge,Australia
塞繆爾·貝克特橋,Samuel Beckett Bridge,Ireland
奧克蘭海灣大橋,Auckland Harbour Bridge,New Zealand
莫斯科河大桥,Bolshoy Moskvoretsky Bridge,Russia
塞文二桥,Second Severn Crossing,United Kingdom
世纪大桥,"Centennial Bridge, Panama",Panama
苏腊马都大桥,Suramadu Bridge,Indonesia
彩虹橋,Rainbow Bridge,Canada
巴鲁阿特大桥,Baluarte Bridge,Mexico
彩虹橋,Rainbow Bridge,United States of America
华南大桥,Huanan Bridge,People's Republic of China
鲁登道夫大桥,Ludendorff Bridge,Germany
博斯普魯斯大橋,15 July Martyrs Bridge,Turkey
坎農街鐵路橋,Cannon Street Railway Bridge,United Kingdom
肖德龙桥,Q682049,Switzerland
兰德大桥,Rande Bridge,Spain
钱场桥,Trang Tien Bridge,Vietnam
卡洛斯·费尔南德斯·卡萨多工程师大桥,Q6091174,Spain
巴特錫橋,Battersea Bridge,United Kingdom
南京大胜关长江大桥,Yangtze River bridges and tunnels,People's Republic of China
新鐵路橋,New Railroad Bridge,Serbia
伶仃洋大橋,Lingdingyang Bridge,People's Republic of China
石桥,Puente de Piedra,Spain
巴恩斯铁路桥,Barnes Railway Bridge,United Kingdom
