label,cityLabel,countryLabel
BB&T中心,BB&T Center,United States of America
俄亥俄体育场,Ohio Stadium,United States of America
熱爾蘭球場,Stade de Gerland,France
联合中心,United Center,United States of America
仁川亞運主體育場,Incheon Asiad Main Stadium,South Korea
梅多蘭茲體育中心,Meadowlands Sports Complex,United States of America
安托法加斯塔地區體育場,Estadio Regional de Antofagasta,Chile
玫瑰碗,Rose Bowl,United States of America
美國銀行球場,Bank of America Stadium,United States of America
維卡拉格路體育場,Vicarage Road,United Kingdom
聯邦快遞體育場,FedExField,United States of America
摩亞球場,Turf Moor,United Kingdom
新加坡室内体育馆,Singapore Indoor Stadium,Singapore
約靈體育場,Hjørring Stadium,Denmark
卑詩體育館,BC Place,Canada
莫祖錫奧林匹克體育場,Estadi Olímpic Lluís Companys,Spain
拜沙達體育場,Arena da Baixada,Brazil
安菲尔德球场,Anfield,United Kingdom
里亞索球場,Estadio Municipal de abanca Riazor,Spain
阿维兰热奥林匹克体育场,Estádio Nilton Santos,Brazil
火龍球場,Estádio do Dragão,Portugal
阿爾諾斯谷體育場,Arnos Vale Stadium,Saint Vincent and the Grenadines
新莊體育場棒球場,Xinzhuang Baseball Stadium,Taiwan
越秀山体育场,Yuexiushan Stadium,People's Republic of China
石橋路運動場,Stonebridge Road,United Kingdom
老特拉福德球场,Old Trafford,United Kingdom
法蘭西球場 (密蘇里州),Francis Field,United States of America
自由邦球場,Free State Stadium,South Africa
名古屋市瑞穗公園陸上競技場,Mizuho Athletic Stadium,Japan
新新加坡國家體育場,National Stadium,Singapore
信安球場,Principal Park,United States of America
平塚競技場,Shonan BMW Stadium Hiratsuka,Japan
哥倫布機員體育場,Mapfre Stadium,United States of America
北京五棵松体育中心棒球场,Q1195502,People's Republic of China
沛可公園球場,Petco Park,United States of America
菲什特奧林匹克體育場,Fisht Olympic Stadium,Russia
畢斯雷特體育場,Bislett Stadion,Norway
恩斯特·哈佩尔球场,Ernst-Happel-Stadion,Austria
頓巴斯球場,Donbass Arena,Ukraine
姆博貝拉球場,Mbombela Stadium,South Africa
洛夫托斯球場,Loftus Versfeld Stadium,South Africa
納爾遜·曼德拉海灣球場,Nelson Mandela Bay Stadium,South Africa
桃園縣立體育場,Taoyuan County Stadium,Taiwan
卡達競技體育場,Qatar SC Stadium,Qatar
洛杉磯紀念體育場,Los Angeles Memorial Coliseum,United States of America
民园体育场,Minyuan Stadium,People's Republic of China
穆納什球場,Munayshy Stadium,Kazakhstan
加查恩納球場,Gajayana Stadium,Indonesia
沃克拉球場,Al-Wakrah Stadium,Qatar
烏弗埃-博瓦尼球場,Stade Félix Houphouët-Boigny,Ivory Coast
萊耶華倫球場,Borås Arena,Sweden
武里南体育场,i-mobile Stadium,Thailand
拉克哈特體育場,Lockhart Stadium,United States of America
新營運動公園田徑場,Tainan County Stadium,Taiwan
澳大利亞體育場,Stadium Australia,Australia
西武巨蛋,Seibu Dome,Japan
美亭國家體育場,My Dinh National Stadium,Vietnam
希爾斯堡球場,Hillsborough Stadium,United Kingdom
豪爾赫·巴薩德雷體育場,Estadio Jorge Basadre,Peru
MM競技場,MMArena,France
金山足球场,Jinshan Sports Centre,People's Republic of China
土星球場,Saturn Stadium,Russia
奧林匹克博塔瑟球場,Stade Olympique de la Pontaise,Switzerland
飛利浦二世競技場,Philip II Arena,Republic of Macedonia
扎维耶运动场,Zaawia Stadium,Libya
宮城球場,Miyagi Baseball Stadium,Japan
巨人球場,Giants Stadium,United States of America
蘇丹卡布斯綜合運動場,Sultan Qaboos Sports Complex,Oman
阿卜杜拉国王体育城体育场,King Abdullah Sport City Stadium,Saudi Arabia
上海體育場,Shanghai Stadium,People's Republic of China
沙普托體育場,Saputo Stadium,Canada
東大門運動場,Dongdaemun Stadium,South Korea
中正體育場,Chungcheng Stadium,Taiwan
帕斯古丹體育場,Pasir Gudang Corporation Stadium,Malaysia
白城體育場,White City Stadium,United Kingdom
大阪球場,Osaka Stadium,Japan
波來古運動場,Pleiku Stadium,Vietnam
列治文奧林匹克橢圓速滑館,Richmond Olympic Oval,Canada
加爾勒球場,GelreDome,Netherlands
拿比奧祖利球場,Stade de la Beaujoire,France
安豐索·亨利克斯球場,Estádio D. Afonso Henriques,Portugal
貝薩球場,Estádio do Bessa,Portugal
河岸球場,Estádio Beira-Rio,Brazil
阿卡德尼茲大學體育場,Akdeniz University Stadium,Turkey
仁川文鶴競技場,Incheon Munhak Stadium,South Korea
成都市体育中心,Chengdu Sports Centre,People's Republic of China
重庆市奥林匹克体育中心,Chongqing Olympic Sports Center,People's Republic of China
神戶綜合運動公園世大運紀念體育場,Kobe Universiade Memorial Stadium,Japan
FFB體育場,FFB Stadium,Belize
熱奧弗魯瓦基查爾球場,Stade Geoffroy-Guichard,France
布拉加市政球场,Estádio Municipal de Braga,Portugal
碧山體育場,Bishan Stadium,Singapore
傑姆斯·M·舒華特體育場,James M. Shuart Stadium,United States of America
彼得·莫卡巴球場,Peter Mokaba Stadium,South Africa
馬模球場,Malmö stadion,Sweden
格但斯克PGE體育場,Stadion Energa Gdańsk,Poland
博杜安国王体育场,King Baudouin Stadium,Belgium
悉尼木球場,Sydney Cricket Ground,Australia
朗博球場,Lambeau Field,United States of America
魯卡斯石油體育場,Lucas Oil Stadium,United States of America
小西灣運動場,Siu Sai Wan Sports Ground,People's Republic of China
秦皇岛市奥体中心体育场,Qinhuangdao Olympic Sports Center Stadium,People's Republic of China
青島國信體育中心體育館,Yizhong Sports Center,People's Republic of China
卢日尼基体育场,Luzhniki Stadium,Russia
後樂園球場,Korakuen Stadium,Japan
国家体育场,Beijing National Stadium,People's Republic of China
聯盟球場,League Park,United States of America
沙格托體育場,Shakhtyor Stadium,Kazakhstan
岐阜紀念中心長良川競技場,Gifu Nagaragawa Stadium,Japan
斯坦利公園球場,Stanley Park Stadium,United Kingdom
江陵綜合運動場,Gangneung Stadium,South Korea
新何塞·索里利亞球場,Estadio Nuevo José Zorrilla,Spain
馬拉簡拿運動場,Estádio do Maracanã,Brazil
神戶綜合運動公園棒球場,Kobe Sports Park Baseball Stadium,Japan
曼徹斯特市球場,Etihad Stadium,United Kingdom
沈阳奥林匹克体育中心,Shenyang Olympic Sports Center Stadium,People's Republic of China
迪克體育用品公園球場,Dick's Sporting Goods Park,United States of America
史丹福橋球場,Stamford Bridge stadium,United Kingdom
