label,cityLabel
馬丁路德金博士圖書館,"Dr. Martin Luther King, Jr. Library"
喬治皮博迪圖書館,George Peabody Library
格拉斯哥大學圖書館,Glasgow University Library
广州图书馆,Guangzhou Library
國立臺中教育大學圖書館,Q18111328
林達荷爾圖書館,Linda Hall Library
玛丽·贝克·艾迪图书馆,Mary Baker Eddy Library
新北市立圖書館總館,Q18653543
莫加紀念圖書館,Mugar Memorial Library
厦门大学图书馆,Xiamen University Libraries
新竹縣北埔鄉立圖書館,Q19849424
苗栗縣泰安鄉立圖書館,Q19853584
史丹福大學圖書館,Stanford University Libraries
波士尼亞與赫塞哥維納國家和大學圖書館,National and University Library of Bosnia and Herzegovina
以色列国家图书馆,National Library of Israel
上海交通大学图书馆,Q10867657
上水公共圖書館,Sheung Shui Public Library
最高裁判所圖書館,Q11515702
杉並區立圖書館,Q11521689
秩父市立圖書館,Q11596134
練馬區立練馬圖書館,Q11608066
大角咀公共圖書館,Tai Kok Tsui Public Library
天水圍公共圖書館,Tin Shui Wai Public Library
小西灣公共圖書館,Siu Sai Wan Public Library
東京都立多摩圖書館,Tokyo Metropolitan Tama Library
延边朝鲜族自治州图书馆,Q24835456
杉並區立中央圖書館,Q24876057
LibriVox,LibriVox
敦巴頓橡樹園,Dumbarton Oaks
BiblioTech,BiblioTech
湖南省少年儿童图书馆,Q18654341
新竹縣尖石鄉立圖書館,Q19852685
苗栗縣獅潭鄉立圖書館,Q19853585
町田市立中央圖書館,Q21019578
國文學研究資料館,National Institute of Japanese Literature
塞西爾H.格林圖書館,Cecil H. Green Library
大原社會問題研究所,Q11555178
江東區立圖書館,Q11551176
熊谷市立圖書館,Q11568758
塞萬提斯圖書館,Cervantine Library
CPAN,CPAN
哥倫比亞特區公共圖書館,District of Columbia Public Library
柏克萊加州大學總圖書館,Doe Memorial Library
皇家葡文圖書館,Biblioteca Real Gabinete Portugues de Leitura
神奈川縣立圖書館,Kanagawa Prefectural Library
女皇鎮公共圖書館,Queenstown Public Library
紐約公共圖書館總部,New York Public Library Main Branch
多倫多參考書圖書館,Toronto Reference Library
桃園市立圖書館龍岡分館,Taoyuan Public Library
崇明图书馆,Q16928570
路環圖書館,Q16926861
澳門中央圖書館,Macao Public Library
保安道公共圖書館,Po On Road Public Library
元朗公共圖書館,Yuen Long Public Library
南葵涌公共圖書館,South Kwai Chung Public Library
東京大學史料編纂所,Historiographical Institute of the University of Tokyo
诏安县图书馆,Q18659355
苗栗縣南庄鄉立圖書館,Q19853581
英国政治经济图书馆,British Library of Political and Economic Science
澳門公共圖書館,Q22099026
伯明翰中央圖書館,Birmingham Central Library
Steam,Steam
國際兒童圖書館,International Library of Children's Literature
匹普斯圖書館,Pepys Library
哈佛燕京圖書館,Harvard–Yenching Library
山西省图书馆,Shanxi Library
橫濱市立圖書館,Q11543070
浦安市立圖書館,Q11558199
行田市立圖書館,Q11626180
豐島區立圖書館,Q11633512
長野電波技術研究所附屬圖書館,Q11654855
Mozilla Add-ons,Mozilla Add-ons
大會堂公共圖書館,City Hall Public Library
西雅图公立图书馆,Seattle Public Library
沙田公共圖書館,Sha Tin Public Library
尚博格黑人文化研究中心,Schomburg Center for Research in Black Culture
CTAN,Comprehensive TeX Archive Network
阿尔松别墅,Villa Arson
青衣公共圖書館,Tsing Yi Public Library
新北市立圖書館板橋分館,New Taipei City Library
耀東公立圖書館,Yiu Tung Public Library
東方圖書館,Oriental Library
北京大学图书馆,Peking University Library
坪洲公共圖書館,Peng Chau Public Library
士美非路公共圖書館,Smithfield Public Library
天水圍北公共圖書館,Tin Shui Wai North Public Library
黃泥涌公共圖書館,Wong Nai Chung Public Library
飞驒市图书馆,Hida City Library
宜蘭市立圖書館,Q19852388
宜蘭縣大同鄉立圖書館,Q19852390
新竹縣峨眉鄉立圖書館,Q19852686
新竹縣竹北市立圖書館,Q19852688
臺東市立圖書館,Q19853367
大英图书馆,British Library
中原大學張靜愚紀念圖書館,Q20687998
曉峰紀念館,Q20687683
佩森圖書館,Pepperdine University Libraries
阿肯色州州立圖書館,Arkansas State Library
芬蘭國家圖書館,National Library of Finland
博德廉法律圖書館,Bodleian Law Library
布拉多克卡內基自由圖書館,Carnegie Free Library of Braddock
伊諾克·普瑞特自由圖書館,Enoch Pratt Free Library
胡佛研究所圖書檔案館,Hoover Institution Library and Archives
九龍公共圖書館,Kowloon Public Library
伯明翰图书馆,Library of Birmingham
春日部市立圖書館,Q11513702
大阪府立中之島圖書館,Osaka Prefectural Nakanoshima Library
舟橋村立圖書館,Q11613787
船橋市圖書館,Q11614134
足立區立中央圖書館,Q11636957
荃灣公共圖書館,Tsuen Wan Public Library
F-Droid,F-Droid
雅各布-威廉-格林中心,Jacob-und-Wilhelm-Grimm-Zentrum
亚历山大图书馆,Library of Alexandria
大埔公共圖書館,Tai Po Public Library
屯門公共圖書館,Tuen Mun Public Library
東涌公共圖書館,Tung Chung Public Library
鴨脷洲公共圖書館,Ap Lei Chau Public Library
麥覺理大學圖書館,Macquarie University Library
蘇黎世中心圖書館,Zentralbibliothek Zürich
PEAR,PHP Extension and Application Repository
薩格勒布國家和大學圖書館,National and University Library in Zagreb
南京图书馆,Nanjing Library
布里斯托中央圖書館,Bristol Central Library
臺東縣金峰鄉立圖書館,Q19853373
厄爾格雷格思維木圖書館,Earl Gregg Swem Library
哈利蘭塞姆中心,Harry Ransom Center
巴斯孔塞洛斯圖書館,José Vasconcelos Library
北約克中央圖書館,North York Central Library
屏山天水圍公共圖書館,Ping Shan Tin Shui Wai Public Library
Thomas Crane公共圖書館,Thomas Crane Public Library
東京都立圖書館,Tokyo Metropolitan Library
密西根大學出版社,University of Michigan Library
江戶川區立圖書館,Q11551040
羽生市立圖書館,Q11610256
加州大學柏克萊分校,"University of California, Berkeley"
瑞士國家圖書館,Swiss National Library
塞浦路斯图书馆,Cyprus Library
罗马国立中央图书馆,Biblioteca Nazionale Centrale di Roma
佛羅倫薩國立中央圖書館,National Central Library of Florence
韩国国立中央图书馆,National Library of Korea
普利茲克軍事博物館及圖書館,Pritzker Military Museum & Library
哈薩克斯坦國家圖書館,National Library of Kazakhstan
委内瑞拉国家图书馆,National Library of Venezuela
愛沙尼亞國家圖書館,National Library of Estonia
格魯吉亞國家圖書館,National Parliamentary Library of Georgia
中国国家图书馆,National Library of China
里卡迪图书馆,Biblioteca Riccardiana
加拿大圖書及檔案館,Library and Archives Canada
林登·詹森總統圖書館暨博物館,Lyndon Baines Johnson Library and Museum
捷克共和國國家圖書館,National Library of the Czech Republic
國會圖書館,Library of Congress
arXiv,arXiv
薄扶林公共圖書館,Pok Fu Lam Public Library
德累斯顿萨克森州立和大学图书馆,Saxon State and University Library
愛丁堡大學圖書館,Edinburgh University Library
羅馬尼亞國家圖書館,National Library of Romania
越南國家圖書館,National Library of Vietnam
保加利亞國家圖書館,SS. Cyril and Methodius National Library
印度尼西亞國家圖書館,National Library of Indonesia
联合国日内瓦办事处,United Nations Office at Geneva
日内瓦高级国际关系及发展学院,Graduate Institute of International and Development Studies
盧森堡國家圖書館,National Library of Luxembourg
不列顛哥倫比亞大學圖書館,University of British Columbia Library
弗朗西斯格里高利鄰里圖書館,Francis A. Gregory Neighborhood Library
休士頓公共圖書館,Houston Public Library
尼克松总统图书馆暨博物馆,Richard Nixon Presidential Library and Museum
柯林頓總統中心,Clinton Presidential Center
法國國家圖書館,Bibliothèque nationale de France
马歇尔经济学图书馆,Marshall Library of Economics
俄罗斯国家图书馆,National Library of Russia
查理斯·帕克圖書館,Charles V. Park Library
哥伦比亚大学图书馆,Columbia University Libraries
圣马可图书馆,Biblioteca Nazionale Marciana
冰島國家與大學圖書館,National and University Library of Iceland
澳洲國家圖書館,National Library of Australia
美国国家医学图书馆,United States National Library of Medicine
蒙古国家图书馆,National Library of Mongolia
香港中央圖書館,Hong Kong Central Library
韩国国会图书馆,National Assembly Library of Korea
维也纳国际中心,Vienna International Centre
阿爾巴尼亞國家圖書館,National Library of Albania
曼徹斯特大學圖書館,University of Manchester Library
波蘭國家圖書館,National Library of Poland
都靈皇家圖書館,Royal Library of Turin
朝陽科技大學波錠紀念圖書館,Poding Memorial Library
拉德克利夫科學圖書館,Radcliffe Science Library
約翰·萊蘭茲圖書館,John Rylands Library
資訊通信及媒體中心圖書館,"Information, Communications and Media Centre Cottbus"
賽克勒圖書館,Sackler Library
青空文庫,Aozora Bunko
