label,cityLabel,countryLabel
庫諾斯克法萊戰役,Battle of Cynoscephalae,Greece
費里布里奇戰役,Battle of Ferrybridge,United Kingdom
第一次馬納沙斯之役,First Battle of Bull Run,United States of America
卡塞罗斯战役,Battle of Caseros,Argentina
莫提梅路口戰役,Battle of Mortimer's Cross,United Kingdom
小大角战役,Battle of the Little Bighorn,United States of America
瓦爾密戰役,Battle of Valmy,France
安卡拉之战,battle of Ankara,Turkey
博讓西戰役,Battle of Beaugency,France
梅德寧戰役,Battle of Medenine,Tunisia
尼科波利斯戰役,Battle of Nicopolis,Second Bulgarian Empire
明西奧之役,Battle of La Rothière,France
豐特努瓦戰役,Battle of Fontenoy,Belgium
第二次馬納沙斯之役,Second Battle of Bull Run,United States of America
卡莱战役,Battle of Carrhae,Turkey
柏林戰役,Battle of Berlin,Germany
第二次聖奧爾本斯戰役,Second Battle of St Albans,United Kingdom
弗里德蘭戰役,Battle of Friedland,Russia
马伦哥战役,Battle of Marengo,Italy
庫里科沃之戰,Battle of Kulikovo,Grand Duchy of Moscow
莽原之役,Battle of the Wilderness,United States of America
哈爾及哈特拉斯堡之役,Battle of Hatteras Inlet Batteries,United States of America
懷俄明谷地戰役,Battle of Wyoming,United States of America
漢普頓錨地海戰,Battle of Hampton Roads,United States of America
科克皮特角之役,Battle of Cockpit Point,United States of America
哈林高地戰役,Battle of Harlem Heights,United States of America
四臂村戰役,Battle of Quatre Bras,Belgium
普林斯顿战役,Battle of Princeton,United States of America
韦克菲尔德战役,Battle of Wakefield,United Kingdom
英國侵藏戰爭,British expedition to Tibet,People's Republic of China
马格德堡战役,Sack of Magdeburg,Germany
布萊克斯托克農場戰役,Battle of Blackstock's Farm,United States of America
快活角戰鬥,Battle of Point Pleasant,United States of America
克里米亞戰役,Crimean Campaign,Soviet Union
硫磺岛战役,Battle of Iwo Jima,Japan
克里米亞戰役,Crimean Campaign,Romania
神流川之戰,Battle of Kanagawa,Japan
布雷斯特戰役,Battle for Brest,France
恰普蘭湖戰役,Battle of Plattsburgh,United States of America
襄樊之战,Battle of Xiangyang,Song dynasty
埃本-埃美爾要塞戰役,Battle of Fort Eben-Emael,Belgium
馬斯垂克戰役,Battle of Maastricht,Netherlands
克里米亞戰役,Crimean Campaign,Nazi Germany
維克斯堡包圍戰,Siege of Vicksburg,United States of America
瀑布市之役,Battle of Hoke's Run,United States of America
雅爾若戰役,Battle of Jargeau,France
安提耶坦之役,Battle of Antietam,United States of America
杜尔贝战役,Battle of Durbe,Latvia
哈巴德頓戰役,Battle of Hubbardton,United States of America
廣州城戰役,Battle of Canton,People's Republic of China
拉包爾戰役,Battle of Rabaul,Papua New Guinea
第四次加奧戰鬥,4th battle of Gao,Mali
襄樊之战,Battle of Xiangyang,Yuan dynasty
奇卡莫加战役,Battle of Chickamauga,United States of America
巴黎會戰 (1814年),Battle of Paris,France
弗雷德里克斯堡之役,Battle of Fredericksburg,United States of America
大寧寺之變,Tainei-ji incident,Japan
蒂耶里堡戰役 (1814年),Battle of Château-Thierry,France
第一次溫徹斯特之役,First Battle of Winchester,United States of America
劉易斯戰役,Battle of Lewes,United Kingdom
三河市之戰,Battle of Trois-Rivières,Canada
八日町之戰,Q10892212,Japan
敦刻爾克之戰,Battle of the Dunes,France
華盛頓堡攻城戰,Battle of Fort Washington,United States of America
大田戰役,Battle of Taejon,South Korea
德浪河谷戰役,Battle of Ia Drang,Vietnam
弗洛登战役,Battle of Flodden,United Kingdom
沙溪大屠殺,Sand Creek massacre,United States of America
