label,cityLabel,countryLabel
玻璃屋,Maison de Verre,France
坎伯兰小屋,Cumberland Lodge,United Kingdom
莫克羅絲別墅,Muckross House,Ireland
博孟特宮,Beaumont Palace,United Kingdom
哈尔顿府,Halton House,United Kingdom
洪塞拉尔堤防住宅,Huis Honselaarsdijk,Netherlands
哈德威克廳,Hardwick Hall,United Kingdom
彼得森的房子,Petersen House,United States of America
朗克斯騰城堡,Runkelstein Castle,Italy
福摩別墅,Frogmore House,United Kingdom
博蒙特學院,Beaumont College,United Kingdom
查茨沃斯莊園,Chatsworth House,United Kingdom
貝爾頓大樓,Belton House,United Kingdom
夏洛滕堡宫,Charlottenburg Palace,Germany
维尔茨堡官邸,Würzburg Residence,Germany
香波尔城堡,Château de Chambord,France
波帕埃別墅,Villa Poppaea,Italy
馬伯格城堡,Marburger Schloss,Germany
特拉赫塞尔瓦尔德城堡,Trachselwald Castle,Switzerland
瓦特格城堡,Q1595081,Switzerland
慕尼黑王宫,Munich Residenz,Germany
伦贝克城堡,Rumbeke Castle,Belgium
愛斯特哈澤宮,Schloss Esterházy,Austria
施韋芩根宮,Schwetzingen Castle,Germany
黄金屋顶,Golden Roof,Austria
沙道城堡,Schadau Castle,Switzerland
隆黛爾宮,Rundāle Palace,Latvia
中國宮,Chinese Pavilion at Drottningholm,Sweden
马德里王宫,Royal Palace of Madrid,Spain
約翰·威廉·杜雷伯故居,John William Draper House,United States of America
山楂樹嶺,Hawthorn Hill,United States of America
韦厄城堡,Q2244283,Switzerland
戈托尔夫城堡,Gottorf Castle,Germany
德薩克古堡,Château d'Agassac,France
拉肯王家城堡,Royal Castle of Laeken,Belgium
帕特森故居 (堪薩斯州拉尼德),Patterson House,United States of America
哈德良别墅,Hadrian's Villa,Italy
王后宫,Queen's House,United Kingdom
塞克羅夫城堡,Sychrov Castle,Czech Republic
利格拉廳,Ragley Hall,United Kingdom
枫丹白露宫,Palace of Fontainebleau,France
農牧神之家,House of the Faun,Italy
謝普頓馬利特,Shepton Mallet,United Kingdom
神秘別墅,Villa of the Mysteries,Italy
莫里茨城堡,Moritzburg Castle,Germany
斯丹哈默堡,Stenhammar Castle,Sweden
瓦朗塞城堡,Château de Valençay,France
巴伯斯貝格宮,Babelsberg Palace,Germany
博讷城堡,Q2968487,France
藏造,Kura,Japan
哈姆巴赫城堡,Hambach Castle,Germany
公爵宮(訥韋爾),Palais ducal de Nevers,France
伯利莊園,Burghley House,United Kingdom
阿特勒城堡,Attre Castle,Belgium
茲沃倫城堡,Zvolen Castle,Slovakia
德累斯顿王宫,Dresden Castle,Germany
奧爾堡城堡,Aalborghus,Denmark
利托米什尔城堡,Litomyšl Chateau,Czech Republic
施托爾岑費爾斯城堡,Stolzenfels Castle,Germany
史密特希尔斯大屋,Smithills Hall,United Kingdom
夏洛特堡宮,Charlottenborg Palace,Denmark
威默林莊園,Wymering Manor,United Kingdom
艾基康山伯爵,Mount Edgcumbe House,United Kingdom
魯賓·柯本少校之家,Major Reuben Colburn House,United States of America
费里耶尔城堡,Château de Ferrières,France
米拉贝尔宫,Mirabell Palace,Austria
美丽堡,Schönhausen Palace,Germany
奧爾登比爾曾城堡,Alden Biesen Castle,Belgium
拉菲酒庄,Château Lafite Rothschild,France
瑪歌酒莊,Château Margaux,France
約翰尼斯城堡,Schloss Johannisburg,Germany
希依城堡,Château de Chinon,France
莫戈什瓦亞宮,Mogoșoaia Palace,Romania
克萊施姆堡,Schloss Klessheim,Austria
菲利普斯魯爾城堡,Schloss Philippsruhe,Germany
索菲羅城堡,Sofiero Castle,Sweden
絲木園,Silwood Park,United Kingdom
匈雅提城堡,Huniade Castle,Romania
霍夫堡皇宮,Hofburg Palace,Austria
康代城堡,Château de Candé,France
德拉肯斯坦城堡,Drakesteijn,Netherlands
子爵城堡,Vaux-le-Vicomte,France
泰尔奇城堡,Q2243703,Czech Republic
奔阿特宮,Schloss Benrath,Germany
皮爾尼茨宮,Pillnitz Castle,Germany
美泉宫,Schönbrunn Palace,Austria
赫盧博卡城堡,Hluboká Castle,Czech Republic
马雷奇城堡,Maretsch Castle,Italy
尚蒂伊城堡,Château de Chantilly,France
新王宫,New Palace,Germany
Kruikenburg城堡,Kruikenburg Castle,Belgium
弗瑞城堡,Castle of Freÿr,Belgium
利希滕斯坦城堡,Lichtenstein Castle,Germany
圓廳別墅,Villa Almerico Capra,Italy
霍利斯木屋,Hall i' th' Wood,United Kingdom
科尔迪茨城堡,Colditz Castle,Germany
高闌城,Old Gorhambury House,United Kingdom
施萊斯海姆宮,Schleißheim palace complex,Germany
居斯特羅宮,Güstrow Castle,Germany
黑基城堡,Hegi Castle,Switzerland
捷克克鲁姆洛夫城堡,Český Krumlov Castle,Czech Republic
宁芬堡宫,Nymphenburg Palace,Germany
萊納宮,Leineschloss,Germany
紹蒙城堡,Château de Chaumont,France
薩爾布呂肯城堡,Saarbrücken Castle,Germany
布羅迪克城堡,Brodick Castle,United Kingdom
雷氏城堡,Wray Castle,United Kingdom
弗雷登斯堡宮,Fredensborg Palace,Denmark
豐盛苑,Fung Shing Court,People's Republic of China
韋尼格羅德城堡,Wernigerode Castle,Germany
德哈爾城堡,Kasteel de Haar,Netherlands
紐伊斯宅第,Plas Newydd,United Kingdom
加佐第別墅,Villa Gazzotti Grimani,Italy
西格蒙德城堡,Sigmundskron Castle,Italy
伯恩斯托夫宮,Bernstorff Palace,Denmark
異人館,Q5364576,Japan
山達基創始教會,L. Ron Hubbard House,United States of America
索思威克府,Southwick House,United Kingdom
普魯伊特-伊戈公寓,Pruitt–Igoe,United States of America
希爾登尼,Hildene,United States of America
朗利特,Longleat,United Kingdom
达勒姆城堡,Durham Castle,United Kingdom
魏玛宫,Schloss Weimar,Germany
曼海姆宮,Mannheim Palace,Germany
昂热城堡,Château d'Angers,France
聖日耳曼昂萊城堡,Château de Saint-Germain-en-Laye,France
特洛伊宫堡,Troja Palace,Czech Republic
伯勒伊尔城堡,Château de Belœil,Belgium
托朗克城堡,Q2968000,France
埃斯特哈希宮殿,Eszterháza,Hungary
贡比涅城堡,Château de Compiègne,France
卡尔斯鲁厄宫殿,Karlsruhe Palace,Germany
克罗梅日什总主教宫,Kroměříž Archbishop's Palace,Czech Republic
盧浮城堡,Louvre Palace,France
凡尔赛宫小堂,chapels of Versailles,France
拉斐特城堡,Château de Maisons,France
卡斯泰爾諾拉沙佩爾城堡,Château de Castelnaud-la-Chapelle,France
維維城堡,Castle of Vêves,Belgium
海尔布伦宫,Hellbrunn Palace,Austria
海伦基姆湖宫,Herrenchiemsee,Germany
Estoublon城堡,Q2968232,France
齐萨王宫,Zisa,Italy
維齊耶城堡,Château de Vizille,France
古岱堡,Château Coutet,France
格呂克斯堡城堡,Glücksburg Castle,Germany
沃特城堡,Schloss Ort,Austria
莫達沃城堡,Château de Modave,Belgium
雅各布·布朗房子,Jacob Broom House,United States of America
傑格霍夫宮,Schloss Jägerhof,Germany
康达里尼别墅,Villa Contarini,Italy
布容城堡,Bouillon Castle,Belgium
忽恩斯布魯克城堡,Kasteel Hoensbroek,Netherlands
朗布依埃城堡,Château de Rambouillet,France
灰色花園 (住宅),Grey Gardens,United States of America
澤列納霍拉城堡,Zelená Hora,Czech Republic
諾曼比莊園,Normanby Hall,United Kingdom
朱庇特别墅,Villa Jovis,Italy
科諾皮什切城堡,Konopiště,Czech Republic
文森城堡,Château de Vincennes,France
格德勒宮,Gödöllő Palace,Hungary
巴巴羅別墅,Villa Barbaro,Italy
马尔堡,Marburg,Germany
漢姆別墅,Ham House,United Kingdom
卡里斯布魯克城堡,Carisbrooke Castle,United Kingdom
貝多芬之家,Beethoven House,Germany
匹茨漢爾莊園,Pitzhanger Manor,United Kingdom
埃爾特姆宮,Eltham Palace,United Kingdom
狄更斯博物館,Charles Dickens Museum,United Kingdom
大特里亚农宫,Grand Trianon,France
达姆施塔特,Darmstadt,Germany
風見雞館,Q11282566,Japan
阿尼克城堡,Alnwick Castle,United Kingdom
福斯林路20號,20 Forthlin Road,United Kingdom
Baker邸,Q11337270,Japan
雷翁波德斯克恩宮,Schloss Leopoldskron,Austria
中城御殿,Q10874900,Japan
袁克文故居,Yuan Kewen house,People's Republic of China
弗拉格勒博物馆,Flagler Museum,United States of America
比丁根,Büdingen,Germany
森尼特和伯莎·柯克宅邸,Sennett and Bertha Kirk House,United States of America
塞萬提斯晚年住宅 (巴亞多利德),Museo Casa de Cervantes,Spain
豪宅,luxury real estate,Japan
古民家,Q11411321,Japan
山手八番馆,Q11468702,Japan
基佑宮,Kew Palace,United Kingdom
旧篠原家住宅,Q11511116,Japan
舊花野井家住宅,Q11511124,Japan
哥廷根科学院,Göttingen Academy of Sciences,Germany
沃爾默城堡,Walmer Castle,United Kingdom
紅屋,Red House,United Kingdom
魚鱗之家,Q11263124,Japan
博爾索弗城堡,Bolsover Castle,United Kingdom
班伯城堡,Bamburgh Castle,United Kingdom
韋士托夫種植園,Evelynton,United States of America
阿斯頓廳,Aston Hall,United Kingdom
平福 (兵庫縣),Q11483456,Japan
舊室谷家住宅,Q11511032,Japan
舊水田家住宅,Q11511081,Japan
克里斯欽自由城,Christiania,Denmark
莫扎特出生地,Mozart's birthplace,Austria
