label,riverLabel,countryLabel
馬拉開波湖,Lake Maracaibo,Venezuela
维纳恩湖,Vänern,Sweden
太湖,Tai Lake,People's Republic of China
弗格森湖,Ferguson Lake,Canada
庞多雷湖,Lake Pend Oreille,United States of America
桑達爾湖,Q1115661,Russia
伊兹尼克湖,Lake İznik,Turkey
馬勒里湖,Mallery Lake,Canada
科罗拉达湖,Laguna Colorada,Bolivia
察尔汗盐湖,Q1644517,People's Republic of China
庞恰特雷恩湖,Lake Pontchartrain,United States of America
蒂貝斯朱瓦克湖,Tebesjuak Lake,Canada
普拉韋西湖,Puula,Finland
鄱阳湖,Poyang Lake,People's Republic of China
伊塞奧湖,Lake Iseo,Italy
盧加諾湖,Lake Lugano,Italy
楚格湖,Lake Zug,Switzerland
法菲克湖,Pfäffikersee,Switzerland
盧加諾湖,Lake Lugano,Switzerland
穆尔滕湖,Lake Murten,Switzerland
克羅諾基湖,Lake Kronotskoye,Russia
埃利通湖,Lake Elton,Russia
弗謝盧格湖,Lake Vselug,Russia
金庫尼湖,Lake Kinkony,Madagascar
吉爾吉斯湖,Khyargas Nuur,Mongolia
基奈湖,Kenai Lake,United States of America
奧基喬比湖,Lake Okeechobee,United States of America
竹帛湖,Trúc Bạch Lake,Vietnam
维戈泽罗湖,Lake Vygozero,Russia
奧庫湖,Lake Oku,Cameroon
基延格-丘耶利湖,Q930182,Russia
科科羅湖,Kokora,Russia
七月二十三日湖,23rd July Lake,Libya
溫尼伯戈西斯湖,Lake Winnipegosis,Canada
富奇湖,Fucine Lake,Italy
康特沃伊托湖,Contwoyto Lake,Canada
羊卓雍错,Yamdrok Lake,People's Republic of China
波索湖,Lake Poso,Indonesia
德文特湖,Derwentwater,United Kingdom
伊利爾格特金湖,Q1108073,Russia
埃伊爾迪爾湖,Lake Eğirdir,Turkey
丘科奇耶湖,Q1108335,Russia
昆加薩拉赫湖,Q1112333,Russia
韋利埃湖,Q1112351,Russia
佩恩湖,Payne Lake,Canada
巴拉湖,Bala Lake,United Kingdom
田吉茲湖,Lake Tengiz,Kazakhstan
蓬喬澤羅湖,Lake Ponchozero,Russia
塔斯利納湖,Tathlina Lake,Canada
何塞理查水壩,José Richa Hydroelectric Plant,Brazil
魯紹納斯湖,Q1630539,Latvia
帕維隆湖,Q1108063,Russia
拉佩爾湖,Lake Rapel,Chile
蒂希克湖,Q1328351,Canada
聖羅克湖,San Roque,Argentina
琵琶湖,Lake Biwa,Japan
瓦伦湖,Walensee,Switzerland
薩爾嫩湖,Lake Sarnen,Switzerland
西爾斯湖,Lake Sils,Switzerland
潮汐池,Tidal Basin,United States of America
帕利埃奧澤羅湖,Q1115605,Russia
马歇尔湖,Marsh Lake,Canada
尚普蘭湖,Lake Champlain,Canada
小奴湖,Lesser Slave Lake,Canada
瑟勒湖,Lac Seul,Canada
維昂特水壩,Vajont Dam,Italy
尚普蘭湖,Lake Champlain,United States of America
克羅斯湖,Cross Lake,Canada
洛蒙德湖,Loch Lomond,United Kingdom
天池,Heaven Lake of Tian Shan,People's Republic of China
西湖,Saiko Lake,Japan
阿拉赫列伊湖,Q1110298,Russia
特勞特湖,Trout Lake,Canada
埃文斯湖 (魁北克),Lake Evans,Canada
克里西斯湖,Lake Chrissie,South Africa
萊雷湖,Léré Lake,Chad
久普昆湖,Lake Dyupkun,Russia
烏賓斯科耶湖,Lake Ubinskoye,Russia
維拉科塔湖,Lake Vilacota,Peru
耶爾馬倫湖,Hjälmaren,Sweden
失望湖,Lake Disappointment,Australia
克林頓科爾登湖,Clinton-Colden Lake,Canada
圖利馬盧湖,Tulemalu Lake,Canada
希尼克湖,Henik Lake,Canada
斯諾伯德湖,Snowbird Lake,Canada
派恩豪斯湖,Pinehouse Lake,Canada
霍塔湖,Hottah Lake,Canada
瓦伊圖納斯湖,Huaytunas Lake,Bolivia
霍寧達爾湖,Hornindalsvatnet,Norway
韋特恩湖,Vättern,Sweden
塞尔萨尔湖,Lake Tharthar,Iraq
塞馬湖,Saimaa,Finland
斯卡尼阿特勒斯湖,Skaneateles Lake,United States of America
雷尼湖,Rainy Lake,Canada
科莫湖,Lake Como,Italy
克里湖,Cree Lake,Canada
奇蘭湖,Lake Chelan,United States of America
托寧湖,Tjörnin,Iceland
格蘭佛湖,Granville Lake,Canada
蒂阿瑙湖,Lake Te Anau,New Zealand
伏爾加湖,Lake Volgo,Russia
濱名湖,Lake Hamana,Japan
雷尼湖,Rainy Lake,United States of America
格里芬湖,Greifensee,Switzerland
特拉西梅诺湖,Lake Trasimeno,Italy
科爾維爾湖 (西北地區),Colville Lake,Canada
黃石湖,Yellowstone Lake,United States of America
楚德湖,Lake Peipus,Estonia
楚德湖,Lake Peipus,Russia
图恩湖,Lake Thun,Switzerland
布里恩茨湖,Lake Brienz,Switzerland
科尼斯頓湖,Coniston Water,United Kingdom
还剑湖,Hoan Kiem Lake,Vietnam
萊西納湖,Lake Lesina,Italy
宍道湖,Lake Shinji,Japan
卡米努里亞克湖,Qamanirjuaq Lake,Canada
烏魯烏魯湖,Uru Uru Lake,Bolivia
黑湖 (黑山共和國),Black Lake,Montenegro
馬加迪湖,Lake Magadi,Kenya
丘克恰吉爾斯科耶湖,Lake Chukchagirskoye,Russia
沃德洛澤羅湖,Lake Vodlozero,Russia
爾米亞湖,Lake Urmia,Iran
煎锅湖,Frying Pan Lake,New Zealand
大托科湖,Lake Bolshoye Toko,Russia
豬苗代湖,Lake Inawashiro,Japan
